userid	genesymbol	genename	entrezgene
BLM	BLM	Bloom syndrome RecQ like helicase	641
IFIH1	IFIH1	interferon induced with helicase C domain 1	64135
ZNF106	ZNF106	zinc finger protein 106	64397
AKTIP	AKTIP	AKT interacting protein	64400
CTAGE1	CTAGE1	cutaneous T-cell lymphoma-associated antigen 1	64693
BMP1	BMP1	bone morphogenetic protein 1	649
SKIV2L	SKIV2L	Ski2 like RNA helicase	6499
SMARCE1	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	6605
SMPD1	SMPD1	sphingomyelin phosphodiesterase 1	6609
STAT1	STAT1	signal transducer and activator of transcription 1	6772
STAT6	STAT6	signal transducer and activator of transcription 6	6778
TEP1	TEP1	telomerase associated protein 1	7011
TKT	TKT	transketolase	7086
TLN1	TLN1	talin 1	7094
UBA1	UBA1	ubiquitin like modifier activating enzyme 1	7317
XRCC5	XRCC5	X-ray repair cross complementing 5	7520
TMEM50B	TMEM50B	transmembrane protein 50B	757
ZFAND5	ZFAND5	zinc finger AN1-type containing 5	7763
CSDE1	CSDE1	cold shock domain containing E1	7812
CORO7	CORO7	coronin 7	79585
SAP130	SAP130	Sin3A associated protein 130	79595
NPEPL1	NPEPL1	aminopeptidase-like 1	79716
ZC3H14	ZC3H14	zinc finger CCCH-type containing 14	79882
CEP76	CEP76	centrosomal protein 76	79959
STN1	STN1	STN1, CST complex subunit	79991
NUP214	NUP214	nucleoporin 214	8021
POLR2M	POLR2M	RNA polymerase II subunit M	81488
TRRAP	TRRAP	transformation/transcription domain associated protein	8295
GRWD1	GRWD1	glutamate rich WD repeat containing 1	83743
FLYWCH1	FLYWCH1	FLYWCH-type zinc finger 1	84256
KDM2B	KDM2B	lysine demethylase 2B	84678
OGT	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	8473
COL27A1	COL27A1	collagen type XXVII alpha 1 chain	85301
TRIM5	TRIM5	tripartite motif containing 5	85363
EIF3D	EIF3D	eukaryotic translation initiation factor 3 subunit D	8664
SQSTM1	SQSTM1	sequestosome 1	8878
EIF2B5	EIF2B5	eukaryotic translation initiation factor 2B subunit epsilon	8893
AP1M1	AP1M1	adaptor related protein complex 1 mu 1 subunit	8907
SKAP2	SKAP2	src kinase associated phosphoprotein 2	8935
FGD3	FGD3	FYVE, RhoGEF and PH domain containing 3	89846
USP10	USP10	ubiquitin specific peptidase 10	9100
FMNL3	FMNL3	formin like 3	91010
SMC3	SMC3	structural maintenance of chromosomes 3	9126
OSMR	OSMR	oncostatin M receptor	9180
ARHGEF2	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	9181
DDX21	DDX21	DExD-box helicase 21	9188
SRSF11	SRSF11	serine and arginine rich splicing factor 11	9295
TRIP12	TRIP12	thyroid hormone receptor interactor 12	9320
TRIP11	TRIP11	thyroid hormone receptor interactor 11	9321
TGM5	TGM5	transglutaminase 5	9333
RPL23	RPL23	ribosomal protein L23	9349
PLAA	PLAA	phospholipase A2 activating protein	9373
LPXN	LPXN	leupaxin	9404
MED23	MED23	mediator complex subunit 23	9439
ROCK2	ROCK2	Rho associated coiled-coil containing protein kinase 2	9475
IPO13	IPO13	importin 13	9670
SNX17	SNX17	sorting nexin 17	9784
CKAP5	CKAP5	cytoskeleton associated protein 5	9793
LRBA	LRBA	LPS responsive beige-like anchor protein	987
WASHC5	WASHC5	WASH complex subunit 5	9897
