userid	genesymbol	genename	entrezgene
P3H4	P3H4	prolyl 3-hydroxylase family member 4 (non-enzymatic)	10609
TRIM16	TRIM16	tripartite motif containing 16	10626
IGF2BP2	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	10644
CGREF1	CGREF1	cell growth regulator with EF-hand domain 1	10669
EBP	EBP	emopamil binding protein (sterol isomerase)	10682
CFL2	CFL2	cofilin 2	1073
YME1L1	YME1L1	YME1 like 1 ATPase	10730
RFPL3	RFPL3	ret finger protein like 3	10738
KIF1C	KIF1C	kinesin family member 1C	10749
CHL1	CHL1	cell adhesion molecule L1 like	10752
POP4	POP4	POP4 homolog, ribonuclease P/MRP subunit	10775
ZNF234	ZNF234	zinc finger protein 234	10780
IQGAP2	IQGAP2	IQ motif containing GTPase activating protein 2	10788
SEC24A	SEC24A	SEC24 homolog A, COPII coat complex component	10802
FRS2	FRS2	fibroblast growth factor receptor substrate 2	10818
HCST	HCST	hematopoietic cell signal transducer	10870
TCERG1	TCERG1	transcription elongation regulator 1	10915
DBF4	DBF4	DBF4 zinc finger	10926
SERINC3	SERINC3	serine incorporator 3	10955
COPS5	COPS5	COP9 signalosome subunit 5	10987
ADAP1	ADAP1	ArfGAP with dual PH domains 1	11033
ADRM1	ADRM1	adhesion regulating molecule 1	11047
DUSP14	DUSP14	dual specificity phosphatase 14	11072
CACFD1	CACFD1	calcium channel flower domain containing 1	11094
PRDM7	PRDM7	PR/SET domain 7	11105
CHEK1	CHEK1	checkpoint kinase 1	1111
PWP1	PWP1	PWP1 homolog, endonuclein	11137
C14orf1	C14orf1	chromosome 14 open reading frame 1	11161
FSTL1	FSTL1	follistatin like 1	11167
SEC23IP	SEC23IP	SEC23 interacting protein	11196
AKAP10	AKAP10	A-kinase anchoring protein 10	11216
GALNT5	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	11227
ZHX1	ZHX1	zinc fingers and homeoboxes 1	11244
GTF3C6	GTF3C6	general transcription factor IIIC subunit 6	112495
SP140	SP140	SP140 nuclear body protein	11262
DUSP12	DUSP12	dual specificity phosphatase 12	11266
SNF8	SNF8	SNF8, ESCRT-II complex subunit	11267
NRM	NRM	nurim (nuclear envelope membrane protein)	11270
PRR4	PRR4	proline rich 4 (lacrimal)	11272
PNKP	PNKP	polynucleotide kinase 3'-phosphatase	11284
NACC1	NACC1	nucleus accumbens associated 1	112939
ADAT3	ADAT3	adenosine deaminase, tRNA specific 3	113179
CHST14	CHST14	carbohydrate sulfotransferase 14	113189
ECD	ECD	ecdysoneless cell cycle regulator	11319
KLHDC7B	KLHDC7B	kelch domain containing 7B	113730
CHRNA7	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit	1139
LINC00313	LINC00313	long intergenic non-protein coding RNA 313	114038
CHRNB2	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	1141
SIGLEC11	SIGLEC11	sialic acid binding Ig like lectin 11	114132
CHRND	CHRND	cholinergic receptor nicotinic delta subunit	1144
PGLYRP3	PGLYRP3	peptidoglycan recognition protein 3	114771
ELFN2	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	114794
CCDC85A	CCDC85A	coiled-coil domain containing 85A	114800
MYSM1	MYSM1	Myb like, SWIRM and MPN domains 1	114803
SORCS1	SORCS1	sortilin related VPS10 domain containing receptor 1	114815
FBXO32	FBXO32	F-box protein 32	114907
TSGA13	TSGA13	testis specific 13	114960
LRRC42	LRRC42	leucine rich repeat containing 42	115353
CISH	CISH	cytokine inducible SH2 containing protein	1154
ALPK2	ALPK2	alpha kinase 2	115701
ADCYAP1	ADCYAP1	adenylate cyclase activating polypeptide 1	116
FAM210B	FAM210B	family with sequence similarity 210 member B	116151
OLIG1	OLIG1	oligodendrocyte transcription factor 1	116448
ART5	ART5	ADP-ribosyltransferase 5	116969
TADA1	TADA1	transcriptional adaptor 1	117143
SSX2IP	SSX2IP	SSX family member 2 interacting protein	117178
MRGPRX2	MRGPRX2	MAS related GPR family member X2	117194
AP2S1	AP2S1	adaptor related protein complex 2 sigma 1 subunit	1175
PARD3B	PARD3B	par-3 family cell polarity regulator beta	117583
CLCN2	CLCN2	chloride voltage-gated channel 2	1181
FAM24A	FAM24A	family with sequence similarity 24 member A	118670
ZFYVE27	ZFYVE27	zinc finger FYVE-type containing 27	118813
C11orf74	C11orf74	chromosome 11 open reading frame 74	119710
CLK3	CLK3	CDC like kinase 3	1198
TRIM64	TRIM64	tripartite motif containing 64	120146
OR56A1	OR56A1	olfactory receptor family 56 subfamily A member 1	120796
OR10P1	OR10P1	olfactory receptor family 10 subfamily P member 1	121130
ASCL4	ASCL4	achaete-scute family bHLH transcription factor 4	121549
TEX29	TEX29	testis expressed 29	121793
TDRD9	TDRD9	tudor domain containing 9	122402
ANKRD9	ANKRD9	ankyrin repeat domain 9	122416
C14orf28	C14orf28	chromosome 14 open reading frame 28	122525
OR4K14	OR4K14	olfactory receptor family 4 subfamily K member 14	122740
SLC25A29	SLC25A29	solute carrier family 25 member 29	123096
CDYL2	CDYL2	chromodomain Y-like 2	124359
TMEM170A	TMEM170A	transmembrane protein 170A	124491
METTL23	METTL23	methyltransferase like 23	124512
OVCA2	OVCA2	ovarian tumor suppressor candidate 2	124641
USP43	USP43	ubiquitin specific peptidase 43	124739
LOXHD1	LOXHD1	lipoxygenase homology domains 1	125336
TTC39C	TTC39C	tetratricopeptide repeat domain 39C	125488
LRRC25	LRRC25	leucine rich repeat containing 25	126364
CCDC105	CCDC105	coiled-coil domain containing 105	126402
OR10H4	OR10H4	olfactory receptor family 10 subfamily H member 4	126541
RPTN	RPTN	repetin	126638
KLHDC9	KLHDC9	kelch domain containing 9	126823
MAB21L3	MAB21L3	mab-21 like 3	126868
ATP6V1G3	ATP6V1G3	ATPase H+ transporting V1 subunit G3	127124
ADH5	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	128
COL2A1	COL2A1	collagen type II alpha 1 chain	1280
WDR64	WDR64	WD repeat domain 64	128025
OR6P1	OR6P1	olfactory receptor family 6 subfamily P member 1	128366
OCSTAMP	OCSTAMP	osteoclast stimulatory transmembrane protein	128506
BPIFA3	BPIFA3	BPI fold containing family A member 3	128861
COL6A1	COL6A1	collagen type VI alpha 1 chain	1291
COL7A1	COL7A1	collagen type VII alpha 1 chain	1294
TMEM18	TMEM18	transmembrane protein 18	129787
CCDC173	CCDC173	coiled-coil domain containing 173	129881
CIB4	CIB4	calcium and integrin binding family member 4	130106
LYPD6	LYPD6	LY6/PLAUR domain containing 6	130574
TMEM178A	TMEM178A	transmembrane protein 178A	130733
AHSA2	AHSA2	activator of HSP90 ATPase homolog 2	130872
DNAJC19	DNAJC19	DnaJ heat shock protein family (Hsp40) member C19	131118
COMT	COMT	catechol-O-methyltransferase	1312
COPA	COPA	coatomer protein complex subunit alpha	1314
SLC31A2	SLC31A2	solute carrier family 31 member 2	1318
COL6A6	COL6A6	collagen type VI alpha 6 chain	131873
ADK	ADK	adenosine kinase	132
MAP3K8	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1326
ZFP42	ZFP42	ZFP42 zinc finger protein	132625
TMPRSS11B	TMPRSS11B	transmembrane protease, serine 11B	132724
SPATA4	SPATA4	spermatogenesis associated 4	132851
AASDH	AASDH	aminoadipate-semialdehyde dehydrogenase	132949
OTOP1	OTOP1	otopetrin 1	133060
MROH2B	MROH2B	maestro heat like repeat family member 2B	133558
ADORA1	ADORA1	adenosine A1 receptor	134
C5orf49	C5orf49	chromosome 5 open reading frame 49	134121
COX7B	COX7B	cytochrome c oxidase subunit 7B	1349
CP	CP	ceruloplasmin	1356
NOBOX	NOBOX	NOBOX oogenesis homeobox	135935
CPD	CPD	carboxypeptidase D	1362
CPE	CPE	carboxypeptidase E	1363
CLDN4	CLDN4	claudin 4	1364
CPN2	CPN2	carboxypeptidase N subunit 2	1370
CPT1B	CPT1B	carnitine palmitoyltransferase 1B	1375
ATF2	ATF2	activating transcription factor 2	1386
OR1N2	OR1N2	olfactory receptor family 1 subfamily N member 2	138882
FUNDC1	FUNDC1	FUN14 domain containing 1	139341
CRK	CRK	CRK proto-oncogene, adaptor protein	1398
HAPLN1	HAPLN1	hyaluronan and proteoglycan link protein 1	1404
ASB11	ASB11	ankyrin repeat and SOCS box containing 11	140456
CHODL	CHODL	chondrolectin	140578
SELENOM	SELENOM	selenoprotein M	140606
SLC32A1	SLC32A1	solute carrier family 32 member 1	140679
GCNT7	GCNT7	glucosaminyl (N-acetyl) transferase family member 7	140687
UBE2F	UBE2F	ubiquitin conjugating enzyme E2 F (putative)	140739
ADAMTS14	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	140766
SRXN1	SRXN1	sulfiredoxin 1	140809
SYT9	SYT9	synaptotagmin 9	143425
CSF1	CSF1	colony stimulating factor 1	1435
OR52I2	OR52I2	olfactory receptor family 52 subfamily I member 2	143502
C12orf66	C12orf66	chromosome 12 open reading frame 66	144577
ABHD12B	ABHD12B	abhydrolase domain containing 12B	145447
FAM81A	FAM81A	family with sequence similarity 81 member A	145773
LINC00052	LINC00052	long intergenic non-protein coding RNA 52	145978
ZNF688	ZNF688	zinc finger protein 688	146542
CD300LF	CD300LF	CD300 molecule like family member f	146722
VSIG10L	VSIG10L	V-set and immunoglobulin domain containing 10 like	147645
C19orf84	C19orf84	chromosome 19 open reading frame 84	147646
ZNF418	ZNF418	zinc finger protein 418	147686
ZNF548	ZNF548	zinc finger protein 548	147694
PPM1N	PPM1N	protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)	147699
ZNF583	ZNF583	zinc finger protein 583	147949
ZNRF4	ZNRF4	zinc and ring finger 4	148066
SAMD13	SAMD13	sterile alpha motif domain containing 13	148418
PHF13	PHF13	PHD finger protein 13	148479
NBPF4	NBPF4	neuroblastoma breakpoint family member 4	148545
HFE2	HFE2	hemochromatosis type 2 (juvenile)	148738
CFAP57	CFAP57	cilia and flagella associated protein 57	149465
BTBD19	BTBD19	BTB domain containing 19	149478
CCDC17	CCDC17	coiled-coil domain containing 17	149483
SPATA45	SPATA45	spermatogenesis associated 45	149643
CTNNB1	CTNNB1	catenin beta 1	1499
AANAT	AANAT	aralkylamine N-acetyltransferase	15
AIFM3	AIFM3	apoptosis inducing factor, mitochondria associated 3	150209
SEPT10	SEPT10	septin 10	151011
KANSL1L	KANSL1L	KAT8 regulatory NSL complex subunit 1 like	151050
CTSK	CTSK	cathepsin K	1513
ASPRV1	ASPRV1	aspartic peptidase, retroviral-like 1	151516
SGO1	SGO1	shugoshin 1	151648
MB21D2	MB21D2	Mab-21 domain containing 2	151963
PYDC2	PYDC2	pyrin domain containing 2	152138
CUX1	CUX1	cut like homeobox 1	1523
CX3CR1	CX3CR1	C-X3-C motif chemokine receptor 1	1524
ZNF827	ZNF827	zinc finger protein 827	152485
THAP6	THAP6	THAP domain containing 6	152815
SRFBP1	SRFBP1	serum response factor binding protein 1	153443
FAM81B	FAM81B	family with sequence similarity 81 member B	153643
PRELID2	PRELID2	PRELI domain containing 2	153768
ZC2HC1B	ZC2HC1B	zinc finger C2HC-type containing 1B	153918
SLC2A12	SLC2A12	solute carrier family 2 member 12	154091
AMOTL1	AMOTL1	angiomotin like 1	154810
PEBP4	PEBP4	phosphatidylethanolamine binding protein 4	157310
FER1L6-AS2	FER1L6-AS2	FER1L6 antisense RNA 2	157376
FBXO16	FBXO16	F-box protein 16	157574
CYP3A4	CYP3A4	cytochrome P450 family 3 subfamily A member 4	1576
CLVS1	CLVS1	clavesin 1	157807
KCNU1	KCNU1	potassium calcium-activated channel subfamily U member 1	157855
CAMSAP1	CAMSAP1	calmodulin regulated spectrin associated protein 1	157922
C9orf66	C9orf66	chromosome 9 open reading frame 66	157983
CYP7A1	CYP7A1	cytochrome P450 family 7 subfamily A member 1	1581
RHOXF1	RHOXF1	Rhox homeobox family member 1	158800
C12orf50	C12orf50	chromosome 12 open reading frame 50	160419
LMNTD1	LMNTD1	lamin tail domain containing 1	160492
CCDC60	CCDC60	coiled-coil domain containing 60	160777
STRC	STRC	stereocilin	161497
DYX1C1	DYX1C1	dyslexia susceptibility 1 candidate 1	161582
PGBD4	PGBD4	piggyBac transposable element derived 4	161779
MARCH10	MARCH10	membrane associated ring-CH-type finger 10	162333
PHOSPHO1	PHOSPHO1	phosphoethanolamine/phosphocholine phosphatase	162466
DBT	DBT	dihydrolipoamide branched chain transacylase E2	1629
ZNF296	ZNF296	zinc finger protein 296	162979
ECI1	ECI1	enoyl-CoA delta isomerase 1	1632
ZNF100	ZNF100	zinc finger protein 100	163227
DCTD	DCTD	dCMP deaminase	1635
CALML6	CALML6	calmodulin like 6	163688
FAM43B	FAM43B	family with sequence similarity 43 member B	163933
TTC24	TTC24	tetratricopeptide repeat domain 24	164118
DDB2	DDB2	damage specific DNA binding protein 2	1643
DDC	DDC	dopa decarboxylase	1644
DAW1	DAW1	dynein assembly factor with WD repeats 1	164781
RASSF6	RASSF6	Ras association domain family member 6	166824
DEFA5	DEFA5	defensin alpha 5	1670
NIM1K	NIM1K	NIM1 serine/threonine protein kinase	167359
ZNF679	ZNF679	zinc finger protein 679	168417
IDO2	IDO2	indoleamine 2,3-dioxygenase 2	169355
QSOX2	QSOX2	quiescin sulfhydryl oxidase 2	169714
GLIS3	GLIS3	GLIS family zinc finger 3	169792
ZCCHC12	ZCCHC12	zinc finger CCHC-type containing 12	170261
ADAMTS18	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	170692
CLYBL	CLYBL	citrate lyase beta like	171425
DIO1	DIO1	iodothyronine deiodinase 1	1733
DKC1	DKC1	dyskerin pseudouridine synthase 1	1736
DMPK	DMPK	dystrophia myotonica protein kinase	1760
DNASE1L1	DNASE1L1	deoxyribonuclease 1 like 1	1774
DNASE1L2	DNASE1L2	deoxyribonuclease 1 like 2	1775
DOCK3	DOCK3	dedicator of cytokinesis 3	1795
DSC3	DSC3	desmocollin 3	1825
RCAN1	RCAN1	regulator of calcineurin 1	1827
DSG3	DSG3	desmoglein 3	1830
HBEGF	HBEGF	heparin binding EGF like growth factor	1839
DUSP2	DUSP2	dual specificity phosphatase 2	1844
DUSP5	DUSP5	dual specificity phosphatase 5	1847
DVL1	DVL1	dishevelled segment polarity protein 1	1855
E2F3	E2F3	E2F transcription factor 3	1871
ECE1	ECE1	endothelin converting enzyme 1	1889
EEF1A1	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1915
EFNA2	EFNA2	ephrin A2	1943
EFNB2	EFNB2	ephrin B2	1948
EGFR	EGFR	epidermal growth factor receptor	1956
ZNF367	ZNF367	zinc finger protein 367	195828
MPZL3	MPZL3	myelin protein zero like 3	196264
CCER1	CCER1	coiled-coil glutamate rich protein 1	196477
ANO6	ANO6	anoctamin 6	196527
EIF2S3	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	1968
GRAMD2	GRAMD2	GRAM domain containing 2	196996
ZNF48	ZNF48	zinc finger protein 48	197407
ELANE	ELANE	elastase, neutrophil expressed	1991
FBXO15	FBXO15	F-box protein 15	201456
ZBTB7C	ZBTB7C	zinc finger and BTB domain containing 7C	201501
TCTE1	TCTE1	t-complex-associated-testis-expressed 1	202500
TUBB	TUBB	tubulin beta class I	203068
EPB41L2	EPB41L2	erythrocyte membrane protein band 4.1 like 2	2037
CERS3	CERS3	ceramide synthase 3	204219
EPHB4	EPHB4	EPH receptor B4	2050
STX2	STX2	syntaxin 2	2054
C6orf163	C6orf163	chromosome 6 open reading frame 163	206412
ERCC2	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	2068
ERN1	ERN1	endoplasmic reticulum to nucleus signaling 1	2081
ESRRG	ESRRG	estrogen related receptor gamma	2104
EXTL3	EXTL3	exostosin like glycosyltransferase 3	2137
PTK2B	PTK2B	protein tyrosine kinase 2 beta	2185
BPTF	BPTF	bromodomain PHD finger transcription factor	2186
USP12	USP12	ubiquitin specific peptidase 12	219333
GSX1	GSX1	GS homeobox 1	219409
TMEM26	TMEM26	transmembrane protein 26	219623
C11orf45	C11orf45	chromosome 11 open reading frame 45	219833
OR6T1	OR6T1	olfactory receptor family 6 subfamily T member 1	219874
GLYATL2	GLYATL2	glycine-N-acyltransferase like 2	219970
OR5A2	OR5A2	olfactory receptor family 5 subfamily A member 2	219981
OR5A1	OR5A1	olfactory receptor family 5 subfamily A member 1	219982
GTSCR1	GTSCR1	Gilles de la Tourette syndrome chromosome region, candidate 1	220158
ATOH7	ATOH7	atonal bHLH transcription factor 7	220202
FCGR1A	FCGR1A	Fc fragment of IgG receptor Ia	2209
ZNF485	ZNF485	zinc finger protein 485	220992
RASGEF1A	RASGEF1A	RasGEF domain family member 1A	221002
NSUN6	NSUN6	NOP2/Sun RNA methyltransferase family member 6	221078
CCDC162P	CCDC162P	coiled-coil domain containing 162, pseudogene	221262
BEND6	BEND6	BEN domain containing 6	221336
FCGRT	FCGRT	Fc fragment of IgG receptor and transporter	2217
SEMA3D	SEMA3D	semaphorin 3D	223117
FGF3	FGF3	fibroblast growth factor 3	2248
FGFR1	FGFR1	fibroblast growth factor receptor 1	2260
FGR	FGR	FGR proto-oncogene, Src family tyrosine kinase	2268
FHL2	FHL2	four and a half LIM domains 2	2274
RASA3	RASA3	RAS p21 protein activator 3	22821
RHOBTB3	RHOBTB3	Rho related BTB domain containing 3	22836
DLGAP4	DLGAP4	DLG associated protein 4	22839
RAB11FIP2	RAB11FIP2	RAB11 family interacting protein 2	22841
SLITRK3	SLITRK3	SLIT and NTRK like family member 3	22865
ANKRD6	ANKRD6	ankyrin repeat domain 6	22881
CD93	CD93	CD93 molecule	22918
SEPHS1	SEPHS1	selenophosphate synthetase 1	22929
RAB18	RAB18	RAB18, member RAS oncogene family	22931
SLC4A1AP	SLC4A1AP	solute carrier family 4 member 1 adaptor protein	22950
SCMH1	SCMH1	sex comb on midleg homolog 1 (Drosophila)	22955
FOXI1	FOXI1	forkhead box I1	2299
KDM1A	KDM1A	lysine demethylase 1A	23028
RBM34	RBM34	RNA binding motif protein 34	23029
SAMD4A	SAMD4A	sterile alpha motif domain containing 4A	23034
ZNF292	ZNF292	zinc finger protein 292	23036
SETD1B	SETD1B	SET domain containing 1B	23067
MYCBP2	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	23077
TTLL5	TTLL5	tubulin tyrosine ligase like 5	23093
KIF1B	KIF1B	kinesin family member 1B	23095
ZBTB43	ZBTB43	zinc finger and BTB domain containing 43	23099
RAD54L2	RAD54L2	RAD54-like 2 (S. cerevisiae)	23132
SMC5	SMC5	structural maintenance of chromosomes 5	23137
FLNA	FLNA	filamin A	2316
FBXO28	FBXO28	F-box protein 28	23219
POFUT2	POFUT2	protein O-fucosyltransferase 2	23275
CLUH	CLUH	clustered mitochondria homolog	23277
SATB2	SATB2	SATB homeobox 2	23314
TRIM2	TRIM2	tripartite motif containing 2	23321
SUN1	SUN1	Sad1 and UNC84 domain containing 1	23353
ANGEL1	ANGEL1	angel homolog 1	23357
PPP1R13B	PPP1R13B	protein phosphatase 1 regulatory subunit 13B	23368
SIK3	SIK3	SIK family kinase 3	23387
FNTA	FNTA	farnesyltransferase, CAAX box, alpha	2339
KCNH4	KCNH4	potassium voltage-gated channel subfamily H member 4	23415
RHOQ	RHOQ	ras homolog family member Q	23433
ICMT	ICMT	isoprenylcysteine carboxyl methyltransferase	23463
GCAT	GCAT	glycine C-acetyltransferase	23464
TRAM1	TRAM1	translocation associated membrane protein 1	23471
BRD4	BRD4	bromodomain containing 4	23476
DAAM2	DAAM2	dishevelled associated activator of morphogenesis 2	23500
GLTSCR1L	GLTSCR1L	GLTSCR1 like	23506
POFUT1	POFUT1	protein O-fucosyltransferase 1	23509
MORC3	MORC3	MORC family CW-type zinc finger 3	23515
MMD	MMD	monocyte to macrophage differentiation associated	23531
SEC14L2	SEC14L2	SEC14 like lipid binding 2	23541
SEZ6L	SEZ6L	seizure related 6 homolog like	23544
TTC33	TTC33	tetratricopeptide repeat domain 33	23548
CDK20	CDK20	cyclin dependent kinase 20	23552
FPGS	FPGS	folylpolyglutamate synthase	2356
ARL2BP	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein	23568
PADI4	PADI4	peptidyl arginine deiminase 4	23569
MKRN2	MKRN2	makorin ring finger protein 2	23609
SDF2L1	SDF2L1	stromal cell derived factor 2 like 1	23753
MTCH2	MTCH2	mitochondrial carrier 2	23788
EML2	EML2	echinoderm microtubule associated protein like 2	24139
DEFB106A	DEFB106A	defensin beta 106A	245909
CTAG1A	CTAG1A	cancer/testis antigen 1A	246100
CNOT6L	CNOT6L	CCR4-NOT transcription complex subunit 6 like	246175
ALPI	ALPI	alkaline phosphatase, intestinal	248
FTL	FTL	ferritin light chain	2512
KDSR	KDSR	3-ketodihydrosphingosine reductase	2531
SERHL2	SERHL2	serine hydrolase-like 2	253190
ZBTB38	ZBTB38	zinc finger and BTB domain containing 38	253461
SLC37A4	SLC37A4	solute carrier family 37 member 4	2542
ZDHHC24	ZDHHC24	zinc finger DHHC-type containing 24	254359
SLC41A1	SLC41A1	solute carrier family 41 member 1	254428
OR6C3	OR6C3	olfactory receptor family 6 subfamily C member 3	254786
REXO1L1P	REXO1L1P	REX1, RNA exonuclease 1 homolog-like 1, pseudogene	254958
OR1L4	OR1L4	olfactory receptor family 1 subfamily L member 4	254973
MPV17L	MPV17L	MPV17 mitochondrial inner membrane protein like	255027
ELMOD2	ELMOD2	ELMO domain containing 2	255520
GABRG1	GABRG1	gamma-aminobutyric acid type A receptor gamma1 subunit	2565
MAP7D2	MAP7D2	MAP7 domain containing 2	256714
C10orf67	C10orf67	chromosome 10 open reading frame 67	256815
GABRR1	GABRR1	gamma-aminobutyric acid type A receptor rho1 subunit	2569
GAD2	GAD2	glutamate decarboxylase 2	2572
TMEM59L	TMEM59L	transmembrane protein 59 like	25789
CIZ1	CIZ1	CDKN1A interacting zinc finger protein 1	25792
FAM149A	FAM149A	family with sequence similarity 149 member A	25854
AHCTF1	AHCTF1	AT-hook containing transcription factor 1	25909
ZDHHC5	ZDHHC5	zinc finger DHHC-type containing 5	25921
WFDC9	WFDC9	WAP four-disulfide core domain 9	259240
BOD1L1	BOD1L1	biorientation of chromosomes in cell division 1 like 1	259282
TAS2R46	TAS2R46	taste 2 receptor member 46	259292
FAM205A	FAM205A	family with sequence similarity 205 member A	259308
C20orf194	C20orf194	chromosome 20 open reading frame 194	25943
NECTIN3	NECTIN3	nectin cell adhesion molecule 3	25945
ZNF385A	ZNF385A	zinc finger protein 385A	25946
C2CD2	C2CD2	C2 calcium dependent domain containing 2	25966
REXO2	REXO2	RNA exonuclease 2	25996
TBC1D10B	TBC1D10B	TBC1 domain family member 10B	26000
SS18L1	SS18L1	SS18L1, nBAF chromatin remodeling complex subunit	26039
SETBP1	SETBP1	SET binding protein 1	26040
ERC2	ERC2	ELKS/RAB6-interacting/CAST family member 2	26059
CFAP61	CFAP61	cilia and flagella associated protein 61	26074
GGA1	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	26088
TRPC4AP	TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein	26133
PCDHB5	PCDHB5	protocadherin beta 5	26167
SENP3	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	26168
OR2F1	OR2F1	olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	26211
FBXL21	FBXL21	F-box and leucine rich repeat protein 21 (gene/pseudogene)	26223
STAP1	STAP1	signal transducing adaptor family member 1	26228
B3GAT3	B3GAT3	beta-1,3-glucuronyltransferase 3	26229
OR2M4	OR2M4	olfactory receptor family 2 subfamily M member 4	26245
