userid	genesymbol	genename	entrezgene
CDKN1A	CDKN1A	cyclin dependent kinase inhibitor 1A	1026
SF3B4	SF3B4	splicing factor 3b subunit 4	10262
CDKN2A	CDKN2A	cyclin dependent kinase inhibitor 2A	1029
MAEA	MAEA	macrophage erythroblast attacher	10296
ADAR	ADAR	adenosine deaminase, RNA specific	103
RRAGB	RRAGB	Ras related GTP binding B	10325
AKR1A1	AKR1A1	aldo-keto reductase family 1 member A1	10327
EMC8	EMC8	ER membrane protein complex subunit 8	10328
TRIM22	TRIM22	tripartite motif containing 22	10346
HMG20A	HMG20A	high mobility group 20A	10363
IRF9	IRF9	interferon regulatory factor 9	10379
MYL12B	MYL12B	myosin light chain 12B	103910
ANAPC10	ANAPC10	anaphase promoting complex subunit 10	10393
DLC1	DLC1	DLC1 Rho GTPase activating protein	10395
NDC80	NDC80	NDC80, kinetochore complex component	10403
CD2BP2	CD2BP2	CD2 cytoplasmic tail binding protein 2	10421
SEC24B	SEC24B	SEC24 homolog B, COPII coat complex component	10427
TMEM147	TMEM147	transmembrane protein 147	10430
EMG1	EMG1	EMG1, N1-specific pseudouridine methyltransferase	10436
IFI30	IFI30	IFI30, lysosomal thiol reductase	10437
MAD2L2	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)	10459
TACC3	TACC3	transforming acidic coiled-coil containing protein 3	10460
COG5	COG5	component of oligomeric golgi complex 5	10466
EIF3M	EIF3M	eukaryotic translation initiation factor 3 subunit M	10480
SEC23B	SEC23B	Sec23 homolog B, coat complex II component	10483
SEC23A	SEC23A	Sec23 homolog A, coat complex II component	10484
SYNCRIP	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	10492
STK25	STK25	serine/threonine kinase 25	10494
CARM1	CARM1	coactivator associated arginine methyltransferase 1	10498
APPBP2	APPBP2	amyloid beta precursor protein binding protein 2	10513
MYBBP1A	MYBBP1A	MYB binding protein 1a	10514
CIB1	CIB1	calcium and integrin binding 1	10519
IPO8	IPO8	importin 8	10526
IPO7	IPO7	importin 7	10527
NOP56	NOP56	NOP56 ribonucleoprotein	10528
ANP32B	ANP32B	acidic nuclear phosphoprotein 32 family member B	10541
RPP38	RPP38	ribonuclease P/MRP subunit p38	10557
CCT7	CCT7	chaperonin containing TCP1 subunit 7	10574
CCT4	CCT4	chaperonin containing TCP1 subunit 4	10575
CCT2	CCT2	chaperonin containing TCP1 subunit 2	10576
DRAP1	DRAP1	DR1 associated protein 1	10589
PRPF8	PRPF8	pre-mRNA processing factor 8	10594
PDLIM5	PDLIM5	PDZ and LIM domain 5	10611
MYL12A	MYL12A	myosin light chain 12A	10627
RAD51AP1	RAD51AP1	RAD51 associated protein 1	10635
RGS14	RGS14	regulator of G-protein signaling 14	10636
EXOC5	EXOC5	exocyst complex component 5	10640
KHDRBS1	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	10657
DCTN6	DCTN6	dynactin subunit 6	10671
TNFSF13B	TNFSF13B	tumor necrosis factor superfamily member 13b	10673
B3GNT2	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	10678
GNB5	GNB5	G protein subunit beta 5	10681
CCT8	CCT8	chaperonin containing TCP1 subunit 8	10694
CETN3	CETN3	centrin 3	1070
MTCO2P12	MTCO2P12	mitochondrially encoded cytochrome c oxidase II pseudogene 12	107075310
CFL1	CFL1	cofilin 1	1072
NUDC	NUDC	nuclear distribution C, dynein complex regulator	10726
YME1L1	YME1L1	YME1 like 1 ATPase	10730
HBS1L	HBS1L	HBS1 like translational GTPase	10767
SRSF10	SRSF10	serine and arginine rich splicing factor 10	10772
ZBTB6	ZBTB6	zinc finger and BTB domain containing 6	10773
IQGAP2	IQGAP2	IQ motif containing GTPase activating protein 2	10788
SEC24A	SEC24A	SEC24 homolog A, COPII coat complex component	10802
HSPH1	HSPH1	heat shock protein family H (Hsp110) member 1	10808
RUVBL2	RUVBL2	RuvB like AAA ATPase 2	10856
ARID5A	ARID5A	AT-rich interaction domain 5A	10865
USP19	USP19	ubiquitin specific peptidase 19	10869
BLCAP	BLCAP	bladder cancer associated protein	10904
TCERG1	TCERG1	transcription elongation regulator 1	10915
EHD1	EHD1	EH domain containing 1	10938
HNRNPA0	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	10949
SEC61B	SEC61B	Sec61 translocon beta subunit	10952
OS9	OS9	OS9, endoplasmic reticulum lectin	10956
ERP29	ERP29	endoplasmic reticulum protein 29	10961
TMED10	TMED10	transmembrane p24 trafficking protein 10	10972
ASCC3	ASCC3	activating signal cointegrator 1 complex subunit 3	10973
CCNI	CCNI	cyclin I	10983
GCN1	GCN1	GCN1, eIF2 alpha kinase activator homolog	10985
METAP2	METAP2	methionyl aminopeptidase 2	10988
SF3B2	SF3B2	splicing factor 3b subunit 2	10992
TLK2	TLK2	tousled like kinase 2	11011
DIDO1	DIDO1	death inducer-obliterator 1	11083
CDC37	CDC37	cell division cycle 37	11140
BAZ2A	BAZ2A	bromodomain adjacent to zinc finger domain 2A	11176
WDR6	WDR6	WD repeat domain 6	11180
MAP4K1	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	11184
NISCH	NISCH	nischarin	11188
AKAP13	AKAP13	A-kinase anchoring protein 13	11214
AKAP11	AKAP11	A-kinase anchoring protein 11	11215
RPL35	RPL35	ribosomal protein L35	11224
HPS5	HPS5	HPS5, biogenesis of lysosomal organelles complex 2 subunit 2	11234
PMF1	PMF1	polyamine modulated factor 1	11243
PACSIN2	PACSIN2	protein kinase C and casein kinase substrate in neurons 2	11252
DCTN3	DCTN3	dynactin subunit 3	11258
SP140	SP140	SP140 nuclear body protein	11262
ATXN2L	ATXN2L	ataxin 2 like	11273
LYPLA2	LYPLA2	lysophospholipase II	11313
CDCA5	CDCA5	cell division cycle associated 5	113130
COPE	COPE	coatomer protein complex subunit epsilon	11316
CHST14	CHST14	carbohydrate sulfotransferase 14	113189
ECD	ECD	ecdysoneless cell cycle regulator	11319
GPN1	GPN1	GPN-loop GTPase 1	11321
C12orf57	C12orf57	chromosome 12 open reading frame 57	113246
DDX42	DDX42	DEAD-box helicase 42	11325
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332
U2AF2	U2AF2	U2 small nuclear RNA auxiliary factor 2	11338
CHUK	CHUK	conserved helix-loop-helix ubiquitous kinase	1147
STK11IP	STK11IP	serine/threonine kinase 11 interacting protein	114790
TUBGCP5	TUBGCP5	tubulin gamma complex associated protein 5	114791
OSBPL9	OSBPL9	oxysterol binding protein like 9	114883
CCDC124	CCDC124	coiled-coil domain containing 124	115098
LRRC58	LRRC58	leucine rich repeat containing 58	116064
ZNF526	ZNF526	zinc finger protein 526	116115
NUS1	NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit	116150
CKS2	CKS2	CDC28 protein kinase regulatory subunit 2	1164
TSEN15	TSEN15	tRNA splicing endonuclease subunit 15	116461
FAM129A	FAM129A	family with sequence similarity 129 member A	116496
EXOSC6	EXOSC6	exosome component 6	118460
PIK3AP1	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	118788
SFXN2	SFXN2	sideroflexin 2	118980
ANAPC16	ANAPC16	anaphase promoting complex subunit 16	119504
CLK3	CLK3	CDC like kinase 3	1198
NEDD1	NEDD1	neural precursor cell expressed, developmentally down-regulated 1	121441
IKBIP	IKBIP	IKBKB interacting protein	121457
HIST4H4	HIST4H4	histone cluster 4 H4	121504
ISCA2	ISCA2	iron-sulfur cluster assembly 2	122961
PLIN2	PLIN2	perilipin 2	123
CCR7	CCR7	C-C motif chemokine receptor 7	1236
PAQR4	PAQR4	progestin and adipoQ receptor family member 4	124222
SLC38A10	SLC38A10	solute carrier family 38 member 10	124565
WDR81	WDR81	WD repeat domain 81	124997
ZSWIM7	ZSWIM7	zinc finger SWIM-type containing 7	125150
RAVER1	RAVER1	ribonucleoprotein, PTB binding 1	125950
TRAPPC5	TRAPPC5	trafficking protein particle complex 5	126003
MOB3A	MOB3A	MOB kinase activator 3A	126308
MFSD12	MFSD12	major facilitator superfamily domain containing 12	126321
CNN3	CNN3	calponin 3	1266
CNP	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	1267
HIST2H3C	HIST2H3C	histone cluster 2 H3 family member c	126961
UHMK1	UHMK1	U2AF homology motif kinase 1	127933
UBR3	UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative)	130507
COMT	COMT	catechol-O-methyltransferase	1312
COPA	COPA	coatomer protein complex subunit alpha	1314
COPB1	COPB1	coatomer protein complex subunit beta 1	1315
MAP3K8	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1326
COX10	COX10	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor	1352
MTPN	MTPN	myotrophin	136319
ASB8	ASB8	ankyrin repeat and SOCS box containing 8	140461
SMCR8	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8	140775
PARP1	PARP1	poly(ADP-ribose) polymerase 1	142
CRYZ	CRYZ	crystallin zeta	1429
PARP4	PARP4	poly(ADP-ribose) polymerase family member 4	143
CSE1L	CSE1L	chromosome segregation 1 like	1434
CSNK1D	CSNK1D	casein kinase 1 delta	1453
CARMIL2	CARMIL2	capping protein regulator and myosin 1 linker 2	146206
PIK3R6	PIK3R6	phosphoinositide-3-kinase regulatory subunit 6	146850
KIF18B	KIF18B	kinesin family member 18B	146909
TMC8	TMC8	transmembrane channel like 8	147138
CSTF1	CSTF1	cleavage stimulation factor subunit 1	1477
CSTF2	CSTF2	cleavage stimulation factor subunit 2	1478
CSTF3	CSTF3	cleavage stimulation factor subunit 3	1479
CTH	CTH	cystathionine gamma-lyase	1491
RNF187	RNF187	ring finger protein 187	149603
CTNNB1	CTNNB1	catenin beta 1	1499
DTX3L	DTX3L	deltex E3 ubiquitin ligase 3L	151636
CCDC12	CCDC12	coiled-coil domain containing 12	151903
CTSZ	CTSZ	cathepsin Z	1522
BTNL9	BTNL9	butyrophilin like 9	153579
CYP1B1	CYP1B1	cytochrome P450 family 1 subfamily B member 1	1545
GRK2	GRK2	G protein-coupled receptor kinase 2	156
VPS13B	VPS13B	vacuolar protein sorting 13 homolog B	157680
EEF1A1P5	EEF1A1P5	eukaryotic translation elongation factor 1 alpha 1 pseudogene 5	158078
CYP8B1	CYP8B1	cytochrome P450 family 8 subfamily B member 1	1582
TSTD2	TSTD2	thiosulfate sulfurtransferase like domain containing 2	158427
CD55	CD55	CD55 molecule (Cromer blood group)	1604
SYNE3	SYNE3	spectrin repeat containing nuclear envelope family member 3	161176
DAPK1	DAPK1	death associated protein kinase 1	1612
AP2B1	AP2B1	adaptor related protein complex 2 beta 1 subunit	163
DCTN1	DCTN1	dynactin subunit 1	1639
DDB1	DDB1	damage specific DNA binding protein 1	1642
DDB2	DDB2	damage specific DNA binding protein 2	1643
APOBEC3H	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H	164668
DDOST	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	1650
FAM171B	FAM171B	family with sequence similarity 171 member B	165215
DDX3X	DDX3X	DEAD-box helicase 3, X-linked	1654
DDX5	DDX5	DEAD-box helicase 5	1655
DHX9	DHX9	DExH-box helicase 9	1660
DHX15	DHX15	DEAH-box helicase 15	1665
DFFA	DFFA	DNA fragmentation factor subunit alpha	1676
RHOV	RHOV	ras homolog family member V	171177
DHCR24	DHCR24	24-dehydrocholesterol reductase	1718
DKC1	DKC1	dyskerin pseudouridine synthase 1	1736
AGL	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	178
DNMT1	DNMT1	DNA methyltransferase 1	1786
DOCK2	DOCK2	dedicator of cytokinesis 2	1794
DPYSL2	DPYSL2	dihydropyrimidinase like 2	1808
ARID3A	ARID3A	AT-rich interaction domain 3A	1820
TSC22D3	TSC22D3	TSC22 domain family member 3	1831
DUSP2	DUSP2	dual specificity phosphatase 2	1844
DUSP5	DUSP5	dual specificity phosphatase 5	1847
DUT	DUT	deoxyuridine triphosphatase	1854
E2F6	E2F6	E2F transcription factor 6	1876
PGAM5	PGAM5	PGAM family member 5, mitochondrial serine/threonine protein phosphatase	192111
EEF1G	EEF1G	eukaryotic translation elongation factor 1 gamma	1937
EEF2	EEF2	eukaryotic translation elongation factor 2	1938
EFNA5	EFNA5	ephrin A5	1946
EIF1AX	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	1964
PLBD2	PLBD2	phospholipase B domain containing 2	196463
ANO6	ANO6	anoctamin 6	196527
EIF2S3	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	1968
WDR90	WDR90	WD repeat domain 90	197335
EIF4A2	EIF4A2	eukaryotic translation initiation factor 4A2	1974
EIF4B	EIF4B	eukaryotic translation initiation factor 4B	1975
EIF4G1	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	1981
EIF4G2	EIF4G2	eukaryotic translation initiation factor 4 gamma 2	1982
ELAVL1	ELAVL1	ELAV like RNA binding protein 1	1994
TXLNA	TXLNA	taxilin alpha	200081
PLD6	PLD6	phospholipase D family member 6	201164
STT3B	STT3B	STT3B, catalytic subunit of the oligosaccharyltransferase complex	201595
TMEM154	TMEM154	transmembrane protein 154	201799
EP300	EP300	E1A binding protein p300	2033
SUSD3	SUSD3	sushi domain containing 3	203328
ANO5	ANO5	anoctamin 5	203859
AK2	AK2	adenylate kinase 2	204
EPRS	EPRS	glutamyl-prolyl-tRNA synthetase	2058
DHRSX	DHRSX	dehydrogenase/reductase X-linked	207063
ERCC3	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	2071
FBL	FBL	fibrillarin	2091
ETFB	ETFB	electron transfer flavoprotein beta subunit	2109
ETS1	ETS1	ETS proto-oncogene 1, transcription factor	2113
ETS2	ETS2	ETS proto-oncogene 2, transcription factor	2114
EXT2	EXT2	exostosin glycosyltransferase 2	2132
FANCD2	FANCD2	Fanconi anemia complementation group D2	2177
ACSL1	ACSL1	acyl-CoA synthetase long-chain family member 1	2180
ACSL3	ACSL3	acyl-CoA synthetase long-chain family member 3	2181
ACSL4	ACSL4	acyl-CoA synthetase long-chain family member 4	2182
PTK2B	PTK2B	protein tyrosine kinase 2 beta	2185
FANCG	FANCG	Fanconi anemia complementation group G	2189
FARSA	FARSA	phenylalanyl-tRNA synthetase alpha subunit	2193
FASN	FASN	fatty acid synthase	2194
TYSND1	TYSND1	trypsin domain containing 1	219743
RTKN2	RTKN2	rhotekin 2	219790
MRPL21	MRPL21	mitochondrial ribosomal protein L21	219927
ABCB7	ABCB7	ATP binding cassette subfamily B member 7	22
REEP3	REEP3	receptor accessory protein 3	221035
JMJD1C	JMJD1C	jumonji domain containing 1C	221037
HNRNPUL2	HNRNPUL2	heterogeneous nuclear ribonucleoprotein U like 2	221092
MICU2	MICU2	mitochondrial calcium uptake 2	221154
TMED4	TMED4	transmembrane p24 trafficking protein 4	222068
FDFT1	FDFT1	farnesyl-diphosphate farnesyltransferase 1	2222
LRWD1	LRWD1	leucine rich repeats and WD repeat domain containing 1	222229
FEN1	FEN1	flap structure-specific endonuclease 1	2237
ALDOA	ALDOA	aldolase, fructose-bisphosphate A	226
IKZF2	IKZF2	IKAROS family zinc finger 2	22807
COPZ1	COPZ1	coatomer protein complex subunit zeta 1	22818
COPG1	COPG1	coatomer protein complex subunit gamma 1	22820
RASA3	RASA3	RAS p21 protein activator 3	22821
RNF44	RNF44	ring finger protein 44	22838
FASTKD2	FASTKD2	FAST kinase domains 2	22868
FKBP5	FKBP5	FK506 binding protein 5	2289
BAHD1	BAHD1	bromo adjacent homology domain containing 1	22893
DENND3	DENND3	DENN domain containing 3	22898
MAPRE1	MAPRE1	microtubule associated protein RP/EB family member 1	22919
ATF6	ATF6	activating transcription factor 6	22926
RAB3GAP1	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	22930
KIN	KIN	Kin17 DNA and RNA binding protein	22944
SLC4A1AP	SLC4A1AP	solute carrier family 4 member 1 adaptor protein	22950
TPX2	TPX2	TPX2, microtubule nucleation factor	22974
TCF25	TCF25	transcription factor 25	22980
KDM2A	KDM2A	lysine demethylase 2A	22992
KLHDC10	KLHDC10	kelch domain containing 10	23008
STK38L	STK38L	serine/threonine kinase 38 like	23012
SPEN	SPEN	spen family transcriptional repressor	23013
EXOSC7	EXOSC7	exosome component 7	23016
CNOT1	CNOT1	CCR4-NOT transcription complex subunit 1	23019
SNRNP200	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	23020
KDM1A	KDM1A	lysine demethylase 1A	23028
RBM34	RBM34	RNA binding motif protein 34	23029
KDM4B	KDM4B	lysine demethylase 4B	23030
FNBP1	FNBP1	formin binding protein 1	23048
SMG1	SMG1	SMG1, nonsense mediated mRNA decay associated PI3K related kinase	23049
ERP44	ERP44	endoplasmic reticulum protein 44	23071
RRP1B	RRP1B	ribosomal RNA processing 1B	23076
PPRC1	PPRC1	peroxisome proliferator-activated receptor gamma, coactivator-related 1	23082
TRIM35	TRIM35	tripartite motif containing 35	23087
PEG10	PEG10	paternally expressed 10	23089
EPB41L3	EPB41L3	erythrocyte membrane protein band 4.1 like 3	23136
FLII	FLII	FLII, actin remodeling protein	2314
ANKLE2	ANKLE2	ankyrin repeat and LEM domain containing 2	23141
FLNA	FLNA	filamin A	2316
WDR43	WDR43	WD repeat domain 43	23160
NUP205	NUP205	nucleoporin 205	23165
EFR3A	EFR3A	EFR3 homolog A	23167
PASK	PASK	PAS domain containing serine/threonine kinase	23178
DIP2A	DIP2A	disco interacting protein 2 homolog A	23181
FLOT2	FLOT2	flotillin 2	2319
ATG4B	ATG4B	autophagy related 4B cysteine peptidase	23192
MDN1	MDN1	midasin AAA ATPase 1	23195
PSME4	PSME4	proteasome activator subunit 4	23198
JMJD6	JMJD6	arginine demethylase and lysine hydroxylase	23210
XPO6	XPO6	exportin 6	23214
PRRC2C	PRRC2C	proline rich coiled-coil 2C	23215
NBEAL2	NBEAL2	neurobeachin like 2	23218
FBXO28	FBXO28	F-box protein 28	23219
SYNE2	SYNE2	spectrin repeat containing nuclear envelope protein 2	23224
NUP210	NUP210	nucleoporin 210	23225
SIK2	SIK2	salt inducible kinase 2	23235
PDS5A	PDS5A	PDS5 cohesin associated factor A	23244
BOP1	BOP1	block of proliferation 1	23246
FAM208A	FAM208A	family with sequence similarity 208 member A	23272
KLHL18	KLHL18	kelch like family member 18	23276
NUP160	NUP160	nucleoporin 160	23279
AGTPBP1	AGTPBP1	ATP/GTP binding protein 1	23287
UBR2	UBR2	ubiquitin protein ligase E3 component n-recognin 2	23304
DNAJC13	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	23317
FMR1	FMR1	fragile X mental retardation 1	2332
USP22	USP22	ubiquitin specific peptidase 22	23326
NEDD4L	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	23327
SZT2	SZT2	seizure threshold 2 homolog (mouse)	23334
JADE2	JADE2	jade family PHD finger 2	23338
VPS39	VPS39	VPS39, HOPS complex subunit	23339
DOCK9	DOCK9	dedicator of cytokinesis 9	23348
UBR4	UBR4	ubiquitin protein ligase E3 component n-recognin 4	23352
MAU2	MAU2	MAU2 sister chromatid cohesion factor	23383
SPECC1L	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like	23384
PIP5K1C	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	23396
COMMD3	COMMD3	COMM domain containing 3	23412
TMED3	TMED3	transmembrane p24 trafficking protein 3	23423
SF3B3	SF3B3	splicing factor 3b subunit 3	23450
ABCB10	ABCB10	ATP binding cassette subfamily B member 10	23456
CBX6	CBX6	chromobox 6	23466
TNFRSF13B	TNFRSF13B	TNF receptor superfamily member 13B	23495
MACF1	MACF1	microtubule-actin crosslinking factor 1	23499
SCRIB	SCRIB	scribbled planar cell polarity protein	23513
RPL13A	RPL13A	ribosomal protein L13a	23521
SRRM2	SRRM2	serine/arginine repetitive matrix 2	23524
ARHGAP45	ARHGAP45	Rho GTPase activating protein 45	23526
ADAT1	ADAT1	adenosine deaminase, tRNA specific 1	23536
GTPBP4	GTPBP4	GTP binding protein 4	23560
CCNDBP1	CCNDBP1	cyclin D1 binding protein 1	23582
MKRN1	MKRN1	makorin ring finger protein 1	23608
KPNA6	KPNA6	karyopherin subunit alpha 6	23633
EDC4	EDC4	enhancer of mRNA decapping 4	23644
POLA2	POLA2	DNA polymerase alpha 2, accessory subunit	23649
PLXNB2	PLXNB2	plexin B2	23654
EID1	EID1	EP300 interacting inhibitor of differentiation 1	23741
MTCH2	MTCH2	mitochondrial carrier 2	23788
PRPF6	PRPF6	pre-mRNA processing factor 6	24148
MTOR	MTOR	mechanistic target of rapamycin	2475
FTL	FTL	ferritin light chain	2512
NUDT14	NUDT14	nudix hydrolase 14	256281
LYSMD2	LYSMD2	LysM domain containing 2	256586
ARHGAP30	ARHGAP30	Rho GTPase activating protein 30	257106
RNF214	RNF214	ring finger protein 214	257160
RAD54B	RAD54B	RAD54 homolog B (S. cerevisiae)	25788
ATXN10	ATXN10	ataxin 10	25814
HECTD1	HECTD1	HECT domain E3 ubiquitin protein ligase 1	25831
COG4	COG4	component of oligomeric golgi complex 4	25839
RPL36	RPL36	ribosomal protein L36	25873
POLR1A	POLR1A	RNA polymerase I subunit A	25885
INTS7	INTS7	integrator complex subunit 7	25896
AHCTF1	AHCTF1	AT-hook containing transcription factor 1	25909
ATL3	ATL3	atlastin GTPase 3	25923
PTPN23	PTPN23	protein tyrosine phosphatase, non-receptor type 23	25930
ZNF385A	ZNF385A	zinc finger protein 385A	25946
KANK2	KANK2	KN motif and ankyrin repeat domains 2	25959
GAPDH	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
RPAP1	RPAP1	RNA polymerase II associated protein 1	26015
SIPA1L1	SIPA1L1	signal induced proliferation associated 1 like 1	26037
UBXN7	UBXN7	UBX domain protein 7	26043
PPP1R16B	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	26051
AUTS2	AUTS2	AUTS2, activator of transcription and developmental regulator	26053
ANKRD17	ANKRD17	ankyrin repeat domain 17	26057
HERC4	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4	26091
DCAF4	DCAF4	DDB1 and CUL4 associated factor 4	26094
SZRD1	SZRD1	SUZ RNA binding domain containing 1	26099
FGFR1OP2	FGFR1OP2	FGFR1 oncogene partner 2	26127
TRPC4AP	TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein	26133
RSL1D1	RSL1D1	ribosomal L1 domain containing 1	26156
IFT172	IFT172	intraflagellar transport 172	26160
SENP3	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	26168
GARS	GARS	glycyl-tRNA synthetase	2617
TIPRL	TIPRL	TOR signaling pathway regulator	261726
INTS1	INTS1	integrator complex subunit 1	26173
AMD1	AMD1	adenosylmethionine decarboxylase 1	262
FBXL6	FBXL6	F-box and leucine rich repeat protein 6	26233
BLOC1S6	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6	26258
FBXO10	FBXO10	F-box protein 10	26267
SACS	SACS	sacsin molecular chaperone	26278
ARFGAP3	ARFGAP3	ADP ribosylation factor GTPase activating protein 3	26286
KAT2A	KAT2A	lysine acetyltransferase 2A	2648
DAZAP1	DAZAP1	DAZ associated protein 1	26528
RANBP6	RANBP6	RAN binding protein 6	26953
CYFIP2	CYFIP2	cytoplasmic FMR1 interacting protein 2	26999
CNPPD1	CNPPD1	cyclin Pas1/PHO80 domain containing 1	27013
SND1	SND1	staphylococcal nuclease and tudor domain containing 1	27044
PPA2	PPA2	pyrophosphatase (inorganic) 2	27068
VPS41	VPS41	VPS41, HOPS complex subunit	27072
NDOR1	NDOR1	NADPH dependent diflavin oxidoreductase 1	27158
GPKOW	GPKOW	G-patch domain and KOW motifs	27238
SESN1	SESN1	sestrin 1	27244
RNF115	RNF115	ring finger protein 115	27246
PDCD4	PDCD4	programmed cell death 4	27250
EIF3K	EIF3K	eukaryotic translation initiation factor 3 subunit K	27335
HTATSF1	HTATSF1	HIV-1 Tat specific factor 1	27336
UBE2S	UBE2S	ubiquitin conjugating enzyme E2 S	27338
PRPF19	PRPF19	pre-mRNA processing factor 19	27339
TMEM97	TMEM97	transmembrane protein 97	27346
MAT2B	MAT2B	methionine adenosyltransferase 2B	27430
POLM	POLM	DNA polymerase mu	27434
GMDS	GMDS	GDP-mannose 4,6-dehydratase	2762
GNAS	GNAS	GNAS complex locus	2778
GNB2	GNB2	G protein subunit beta 2	2783
GNG5	GNG5	G protein subunit gamma 5	2787
GPI	GPI	glucose-6-phosphate isomerase	2821
CHAMP1	CHAMP1	chromosome alignment maintaining phosphoprotein 1	283489
NOMO2	NOMO2	NODAL modulator 2	283820
PGP	PGP	phosphoglycolate phosphatase	283871
CCDC141	CCDC141	coiled-coil domain containing 141	285025
RPL7L1	RPL7L1	ribosomal protein L7 like 1	285855
ILDR1	ILDR1	immunoglobulin like domain containing receptor 1	286676
GRB2	GRB2	growth factor receptor bound protein 2	2885
LAMTOR2	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	28956
MCTS1	MCTS1	MCTS1, re-initiation and release factor	28985
NOB1	NOB1	NIN1/PSMD8 binding protein 1 homolog	28987
ABR	ABR	active BCR-related	29
C16orf72	C16orf72	chromosome 16 open reading frame 72	29035
ZC3H7A	ZC3H7A	zinc finger CCCH-type containing 7A	29066
SETD2	SETD2	SET domain containing 2	29072
UBE2T	UBE2T	ubiquitin conjugating enzyme E2 T	29089
ARHGAP35	ARHGAP35	Rho GTPase activating protein 35	2909
