userid	genesymbol	genename	entrezgene
ADAR	ADAR	adenosine deaminase, RNA specific	103
IKZF1	IKZF1	IKAROS family zinc finger 1	10320
AKR1A1	AKR1A1	aldo-keto reductase family 1 member A1	10327
EMC8	EMC8	ER membrane protein complex subunit 8	10328
TRIM22	TRIM22	tripartite motif containing 22	10346
MYL12B	MYL12B	myosin light chain 12B	103910
DLC1	DLC1	DLC1 Rho GTPase activating protein	10395
NDC80	NDC80	NDC80, kinetochore complex component	10403
CD2BP2	CD2BP2	CD2 cytoplasmic tail binding protein 2	10421
SEC24B	SEC24B	SEC24 homolog B, COPII coat complex component	10427
EMG1	EMG1	EMG1, N1-specific pseudouridine methyltransferase	10436
IFI30	IFI30	IFI30, lysosomal thiol reductase	10437
MAD2L2	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)	10459
COG5	COG5	component of oligomeric golgi complex 5	10466
EIF3M	EIF3M	eukaryotic translation initiation factor 3 subunit M	10480
NXF1	NXF1	nuclear RNA export factor 1	10482
SEC23B	SEC23B	Sec23 homolog B, coat complex II component	10483
CAP1	CAP1	adenylate cyclase associated protein 1	10487
STK25	STK25	serine/threonine kinase 25	10494
MYBBP1A	MYBBP1A	MYB binding protein 1a	10514
CIB1	CIB1	calcium and integrin binding 1	10519
KAT5	KAT5	lysine acetyltransferase 5	10524
NOP56	NOP56	NOP56 ribonucleoprotein	10528
ANP32B	ANP32B	acidic nuclear phosphoprotein 32 family member B	10541
RPP38	RPP38	ribonuclease P/MRP subunit p38	10557
CCT7	CCT7	chaperonin containing TCP1 subunit 7	10574
CCT2	CCT2	chaperonin containing TCP1 subunit 2	10576
DRAP1	DRAP1	DR1 associated protein 1	10589
CENPB	CENPB	centromere protein B	1059
SMC2	SMC2	structural maintenance of chromosomes 2	10592
PRPF8	PRPF8	pre-mRNA processing factor 8	10594
PDLIM5	PDLIM5	PDZ and LIM domain 5	10611
RAD51AP1	RAD51AP1	RAD51 associated protein 1	10635
RGS14	RGS14	regulator of G-protein signaling 14	10636
EXOC5	EXOC5	exocyst complex component 5	10640
KHDRBS1	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	10657
DCTN6	DCTN6	dynactin subunit 6	10671
TNFSF13B	TNFSF13B	tumor necrosis factor superfamily member 13b	10673
B3GNT2	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	10678
GNB5	GNB5	G protein subunit beta 5	10681
GMEB1	GMEB1	glucocorticoid modulatory element binding protein 1	10691
CCT8	CCT8	chaperonin containing TCP1 subunit 8	10694
CETN3	CETN3	centrin 3	1070
MTCO2P12	MTCO2P12	mitochondrially encoded cytochrome c oxidase II pseudogene 12	107075310
CFL1	CFL1	cofilin 1	1072
YME1L1	YME1L1	YME1 like 1 ATPase	10730
GIPC1	GIPC1	GIPC PDZ domain containing family member 1	10755
TRAF3IP2	TRAF3IP2	TRAF3 interacting protein 2	10758
AHCYL1	AHCYL1	adenosylhomocysteinase like 1	10768
SRSF10	SRSF10	serine and arginine rich splicing factor 10	10772
ZBTB6	ZBTB6	zinc finger and BTB domain containing 6	10773
CLPX	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	10845
RUVBL2	RUVBL2	RuvB like AAA ATPase 2	10856
ARID5A	ARID5A	AT-rich interaction domain 5A	10865
USP19	USP19	ubiquitin specific peptidase 19	10869
WDR3	WDR3	WD repeat domain 3	10885
BLCAP	BLCAP	bladder cancer associated protein	10904
TXNL4A	TXNL4A	thioredoxin like 4A	10907
EHMT2	EHMT2	euchromatic histone lysine methyltransferase 2	10919
MORF4L1	MORF4L1	mortality factor 4 like 1	10933
EHD1	EHD1	EH domain containing 1	10938
POP1	POP1	POP1 homolog, ribonuclease P/MRP subunit	10940
SEC61B	SEC61B	Sec61 translocon beta subunit	10952
OS9	OS9	OS9, endoplasmic reticulum lectin	10956
PNRC1	PNRC1	proline rich nuclear receptor coactivator 1	10957
ERP29	ERP29	endoplasmic reticulum protein 29	10961
TMED10	TMED10	transmembrane p24 trafficking protein 10	10972
ASCC3	ASCC3	activating signal cointegrator 1 complex subunit 3	10973
CCNI	CCNI	cyclin I	10983
GCN1	GCN1	GCN1, eIF2 alpha kinase activator homolog	10985
METAP2	METAP2	methionyl aminopeptidase 2	10988
SF3B2	SF3B2	splicing factor 3b subunit 2	10992
CYB561D2	CYB561D2	cytochrome b561 family member D2	11068
DIDO1	DIDO1	death inducer-obliterator 1	11083
CIT	CIT	citron rho-interacting serine/threonine kinase	11113
KIF3A	KIF3A	kinesin family member 3A	11127
CDC37	CDC37	cell division cycle 37	11140
BAZ2A	BAZ2A	bromodomain adjacent to zinc finger domain 2A	11176
WDR6	WDR6	WD repeat domain 6	11180
NISCH	NISCH	nischarin	11188
AKAP13	AKAP13	A-kinase anchoring protein 13	11214
AKAP11	AKAP11	A-kinase anchoring protein 11	11215
AKAP2	AKAP2	A-kinase anchoring protein 2	11217
DUSP10	DUSP10	dual specificity phosphatase 10	11221
RPL35	RPL35	ribosomal protein L35	11224
DCTN3	DCTN3	dynactin subunit 3	11258
SP140	SP140	SP140 nuclear body protein	11262
NRM	NRM	nurim (nuclear envelope membrane protein)	11270
ATXN2L	ATXN2L	ataxin 2 like	11273
LYPLA2	LYPLA2	lysophospholipase II	11313
CHST14	CHST14	carbohydrate sulfotransferase 14	113189
ECD	ECD	ecdysoneless cell cycle regulator	11319
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332
U2AF2	U2AF2	U2 small nuclear RNA auxiliary factor 2	11338
CHUK	CHUK	conserved helix-loop-helix ubiquitous kinase	1147
STK11IP	STK11IP	serine/threonine kinase 11 interacting protein	114790
TUBGCP5	TUBGCP5	tubulin gamma complex associated protein 5	114791
CCDC124	CCDC124	coiled-coil domain containing 124	115098
LRRC42	LRRC42	leucine rich repeat containing 42	115353
GBP4	GBP4	guanylate binding protein 4	115361
ALPK2	ALPK2	alpha kinase 2	115701
TRMT61A	TRMT61A	tRNA methyltransferase 61A	115708
LRRC58	LRRC58	leucine rich repeat containing 58	116064
ZNF526	ZNF526	zinc finger protein 526	116115
CKS2	CKS2	CDC28 protein kinase regulatory subunit 2	1164
FAM129A	FAM129A	family with sequence similarity 129 member A	116496
ARAP1	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	116985
AGAP2	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	116986
EXOSC6	EXOSC6	exosome component 6	118460
PIK3AP1	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	118788
SFXN2	SFXN2	sideroflexin 2	118980
ANAPC16	ANAPC16	anaphase promoting complex subunit 16	119504
CLK3	CLK3	CDC like kinase 3	1198
NEDD1	NEDD1	neural precursor cell expressed, developmentally down-regulated 1	121441
PLIN2	PLIN2	perilipin 2	123
CCR7	CCR7	C-C motif chemokine receptor 7	1236
NIPA1	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	123606
PAQR4	PAQR4	progestin and adipoQ receptor family member 4	124222
SNX20	SNX20	sorting nexin 20	124460
SLC38A10	SLC38A10	solute carrier family 38 member 10	124565
RAVER1	RAVER1	ribonucleoprotein, PTB binding 1	125950
TRAPPC5	TRAPPC5	trafficking protein particle complex 5	126003
MOB3A	MOB3A	MOB kinase activator 3A	126308
MFSD12	MFSD12	major facilitator superfamily domain containing 12	126321
CNP	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	1267
COL1A2	COL1A2	collagen type I alpha 2 chain	1278
UHMK1	UHMK1	U2AF homology motif kinase 1	127933
UBR3	UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative)	130507
COPA	COPA	coatomer protein complex subunit alpha	1314
GLYCTK	GLYCTK	glycerate kinase	132158
MAP3K8	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1326
WDR36	WDR36	WD repeat domain 36	134430
UBLCP1	UBLCP1	ubiquitin like domain containing CTD phosphatase 1	134510
COX10	COX10	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor	1352
CD109	CD109	CD109 molecule	135228
MTPN	MTPN	myotrophin	136319
CPT1A	CPT1A	carnitine palmitoyltransferase 1A	1374
GPAT4	GPAT4	glycerol-3-phosphate acyltransferase 4	137964
CREB1	CREB1	cAMP responsive element binding protein 1	1385
ASB8	ASB8	ankyrin repeat and SOCS box containing 8	140461
SMCR8	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8	140775
SRXN1	SRXN1	sulfiredoxin 1	140809
PARP4	PARP4	poly(ADP-ribose) polymerase family member 4	143
CSE1L	CSE1L	chromosome segregation 1 like	1434
ALG10B	ALG10B	ALG10B, alpha-1,2-glucosyltransferase	144245
CDAN1	CDAN1	codanin 1	146059
PIK3R6	PIK3R6	phosphoinositide-3-kinase regulatory subunit 6	146850
KIF18B	KIF18B	kinesin family member 18B	146909
CSTF1	CSTF1	cleavage stimulation factor subunit 1	1477
CSTF2	CSTF2	cleavage stimulation factor subunit 2	1478
FAM98C	FAM98C	family with sequence similarity 98 member C	147965
CTH	CTH	cystathionine gamma-lyase	1491
RNF187	RNF187	ring finger protein 187	149603
CTNNB1	CTNNB1	catenin beta 1	1499
DTX3L	DTX3L	deltex E3 ubiquitin ligase 3L	151636
CCDC12	CCDC12	coiled-coil domain containing 12	151903
BTNL9	BTNL9	butyrophilin like 9	153579
RNF145	RNF145	ring finger protein 145	153830
GRK2	GRK2	G protein-coupled receptor kinase 2	156
CDCA2	CDCA2	cell division cycle associated 2	157313
VPS13B	VPS13B	vacuolar protein sorting 13 homolog B	157680
TSTD2	TSTD2	thiosulfate sulfurtransferase like domain containing 2	158427
FAAH2	FAAH2	fatty acid amide hydrolase 2	158584
SYNE3	SYNE3	spectrin repeat containing nuclear envelope family member 3	161176
DAPK3	DAPK3	death associated protein kinase 3	1613
NOP9	NOP9	NOP9 nucleolar protein	161424
AP1B1	AP1B1	adaptor related protein complex 1 beta 1 subunit	162
AP2B1	AP2B1	adaptor related protein complex 2 beta 1 subunit	163
DCTN1	DCTN1	dynactin subunit 1	1639
DDB1	DDB1	damage specific DNA binding protein 1	1642
DDB2	DDB2	damage specific DNA binding protein 2	1643
DDOST	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	1650
DDX5	DDX5	DEAD-box helicase 5	1655
DDX6	DDX6	DEAD-box helicase 6	1656
DHX9	DHX9	DExH-box helicase 9	1660
DHX15	DHX15	DEAH-box helicase 15	1665
DCLK2	DCLK2	doublecortin like kinase 2	166614
RASSF6	RASSF6	Ras association domain family member 6	166824
DHCR24	DHCR24	24-dehydrocholesterol reductase	1718
DIAPH1	DIAPH1	diaphanous related formin 1	1729
DIAPH2	DIAPH2	diaphanous related formin 2	1730
DKC1	DKC1	dyskerin pseudouridine synthase 1	1736
DYNC1LI2	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	1783
DNMT1	DNMT1	DNA methyltransferase 1	1786
DOCK2	DOCK2	dedicator of cytokinesis 2	1794
ARID3A	ARID3A	AT-rich interaction domain 3A	1820
TSC22D3	TSC22D3	TSC22 domain family member 3	1831
DUSP2	DUSP2	dual specificity phosphatase 2	1844
DUSP5	DUSP5	dual specificity phosphatase 5	1847
DUT	DUT	deoxyuridine triphosphatase	1854
ECE1	ECE1	endothelin converting enzyme 1	1889
EEF2	EEF2	eukaryotic translation elongation factor 2	1938
PLBD2	PLBD2	phospholipase B domain containing 2	196463
ANO6	ANO6	anoctamin 6	196527
ARID2	ARID2	AT-rich interaction domain 2	196528
EIF2S3	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	1968
WDR90	WDR90	WD repeat domain 90	197335
EIF4B	EIF4B	eukaryotic translation initiation factor 4B	1975
EIF4EBP1	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	1978
EIF4G1	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	1981
EIF4G2	EIF4G2	eukaryotic translation initiation factor 4 gamma 2	1982
ELF1	ELF1	E74 like ETS transcription factor 1	1997
TXLNA	TXLNA	taxilin alpha	200081
APOBEC3F	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F	200316
PLD6	PLD6	phospholipase D family member 6	201164
STT3B	STT3B	STT3B, catalytic subunit of the oligosaccharyltransferase complex	201595
TMEM154	TMEM154	transmembrane protein 154	201799
ENDOG	ENDOG	endonuclease G	2021
EP300	EP300	E1A binding protein p300	2033
SUSD3	SUSD3	sushi domain containing 3	203328
EPB41	EPB41	erythrocyte membrane protein band 4.1	2035
ANO5	ANO5	anoctamin 5	203859
AK2	AK2	adenylate kinase 2	204
EPRS	EPRS	glutamyl-prolyl-tRNA synthetase	2058
DHRSX	DHRSX	dehydrogenase/reductase X-linked	207063
ERCC3	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	2071
ERN1	ERN1	endoplasmic reticulum to nucleus signaling 1	2081
FBL	FBL	fibrillarin	2091
ESRRA	ESRRA	estrogen related receptor alpha	2101
ETFA	ETFA	electron transfer flavoprotein alpha subunit	2108
ETFB	ETFB	electron transfer flavoprotein beta subunit	2109
ETS1	ETS1	ETS proto-oncogene 1, transcription factor	2113
EXT2	EXT2	exostosin glycosyltransferase 2	2132
FANCD2	FANCD2	Fanconi anemia complementation group D2	2177
ACSL1	ACSL1	acyl-CoA synthetase long-chain family member 1	2180
ACSL4	ACSL4	acyl-CoA synthetase long-chain family member 4	2182
PTK2B	PTK2B	protein tyrosine kinase 2 beta	2185
BPTF	BPTF	bromodomain PHD finger transcription factor	2186
FARSA	FARSA	phenylalanyl-tRNA synthetase alpha subunit	2193
FASN	FASN	fatty acid synthase	2194
MRPL21	MRPL21	mitochondrial ribosomal protein L21	219927
ABCB7	ABCB7	ATP binding cassette subfamily B member 7	22
HNRNPUL2	HNRNPUL2	heterogeneous nuclear ribonucleoprotein U like 2	221092
MICU2	MICU2	mitochondrial calcium uptake 2	221154
FEN1	FEN1	flap structure-specific endonuclease 1	2237
ALDOA	ALDOA	aldolase, fructose-bisphosphate A	226
COG2	COG2	component of oligomeric golgi complex 2	22796
IKZF2	IKZF2	IKAROS family zinc finger 2	22807
COPG1	COPG1	coatomer protein complex subunit gamma 1	22820
RASA3	RASA3	RAS p21 protein activator 3	22821
RNF44	RNF44	ring finger protein 44	22838
FASTKD2	FASTKD2	FAST kinase domains 2	22868
MLXIP	MLXIP	MLX interacting protein	22877
BAHD1	BAHD1	bromo adjacent homology domain containing 1	22893
MAPRE1	MAPRE1	microtubule associated protein RP/EB family member 1	22919
ATF6	ATF6	activating transcription factor 6	22926
SLC4A1AP	SLC4A1AP	solute carrier family 4 member 1 adaptor protein	22950
TPX2	TPX2	TPX2, microtubule nucleation factor	22974
EFR3B	EFR3B	EFR3 homolog B	22979
PCNX1	PCNX1	pecanex homolog 1 (Drosophila)	22990
STK38L	STK38L	serine/threonine kinase 38 like	23012
CNOT1	CNOT1	CCR4-NOT transcription complex subunit 1	23019
SNRNP200	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	23020
KDM1A	KDM1A	lysine demethylase 1A	23028
RBM34	RBM34	RNA binding motif protein 34	23029
KDM4B	KDM4B	lysine demethylase 4B	23030
FNBP1	FNBP1	formin binding protein 1	23048
SMG1	SMG1	SMG1, nonsense mediated mRNA decay associated PI3K related kinase	23049
EMC1	EMC1	ER membrane protein complex subunit 1	23065
ERP44	ERP44	endoplasmic reticulum protein 44	23071
RRP1B	RRP1B	ribosomal RNA processing 1B	23076
PEG10	PEG10	paternally expressed 10	23089
POGZ	POGZ	pogo transposable element with ZNF domain	23126
FLI1	FLI1	Fli-1 proto-oncogene, ETS transcription factor	2313
MAST2	MAST2	microtubule associated serine/threonine kinase 2	23139
FLII	FLII	FLII, actin remodeling protein	2314
ANKLE2	ANKLE2	ankyrin repeat and LEM domain containing 2	23141
FLNA	FLNA	filamin A	2316
WDR43	WDR43	WD repeat domain 43	23160
EFR3A	EFR3A	EFR3 homolog A	23167
DIP2A	DIP2A	disco interacting protein 2 homolog A	23181
FLOT2	FLOT2	flotillin 2	2319
ATG4B	ATG4B	autophagy related 4B cysteine peptidase	23192
MDN1	MDN1	midasin AAA ATPase 1	23195
JMJD6	JMJD6	arginine demethylase and lysine hydroxylase	23210
XPO6	XPO6	exportin 6	23214
PRRC2C	PRRC2C	proline rich coiled-coil 2C	23215
TBC1D1	TBC1D1	TBC1 domain family member 1	23216
NBEAL2	NBEAL2	neurobeachin like 2	23218
FBXO28	FBXO28	F-box protein 28	23219
SYNE2	SYNE2	spectrin repeat containing nuclear envelope protein 2	23224
NUP210	NUP210	nucleoporin 210	23225
SEL1L3	SEL1L3	SEL1L family member 3	23231
PDS5A	PDS5A	PDS5 cohesin associated factor A	23244
BOP1	BOP1	block of proliferation 1	23246
FAM208A	FAM208A	family with sequence similarity 208 member A	23272
CLEC16A	CLEC16A	C-type lectin domain family 16 member A	23274
KLHL18	KLHL18	kelch like family member 18	23276
NUP160	NUP160	nucleoporin 160	23279
NCAPD3	NCAPD3	non-SMC condensin II complex subunit D3	23310
DNAJC13	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	23317
FMR1	FMR1	fragile X mental retardation 1	2332
USP22	USP22	ubiquitin specific peptidase 22	23326
NEDD4L	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	23327
JADE2	JADE2	jade family PHD finger 2	23338
VPS39	VPS39	VPS39, HOPS complex subunit	23339
ESYT1	ESYT1	extended synaptotagmin 1	23344
SMCHD1	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	23347
UBR4	UBR4	ubiquitin protein ligase E3 component n-recognin 4	23352
MAU2	MAU2	MAU2 sister chromatid cohesion factor	23383
SPECC1L	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like	23384
NUDCD3	NUDCD3	NudC domain containing 3	23386
ADNP	ADNP	activity dependent neuroprotector homeobox	23394
TMED3	TMED3	transmembrane p24 trafficking protein 3	23423
SF3B3	SF3B3	splicing factor 3b subunit 3	23450
ABCB10	ABCB10	ATP binding cassette subfamily B member 10	23456
CBX6	CBX6	chromobox 6	23466
ISCU	ISCU	iron-sulfur cluster assembly enzyme	23479
TNFRSF13B	TNFRSF13B	TNF receptor superfamily member 13B	23495
MACF1	MACF1	microtubule-actin crosslinking factor 1	23499
TMEM131	TMEM131	transmembrane protein 131	23505
SCRIB	SCRIB	scribbled planar cell polarity protein	23513
SRRM2	SRRM2	serine/arginine repetitive matrix 2	23524
ARHGAP45	ARHGAP45	Rho GTPase activating protein 45	23526
ADAT1	ADAT1	adenosine deaminase, tRNA specific 1	23536
GTPBP4	GTPBP4	GTP binding protein 4	23560
CCNDBP1	CCNDBP1	cyclin D1 binding protein 1	23582
ORC6	ORC6	origin recognition complex subunit 6	23594
MKRN1	MKRN1	makorin ring finger protein 1	23608
SH3BP1	SH3BP1	SH3 domain binding protein 1	23616
EDC4	EDC4	enhancer of mRNA decapping 4	23644
POLA2	POLA2	DNA polymerase alpha 2, accessory subunit	23649
EID1	EID1	EP300 interacting inhibitor of differentiation 1	23741
FTSJ1	FTSJ1	FtsJ RNA methyltransferase homolog 1 (E. coli)	24140
PRPF6	PRPF6	pre-mRNA processing factor 6	24148
POLR2J2	POLR2J2	RNA polymerase II subunit J2	246721
ABL1	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25
FTL	FTL	ferritin light chain	2512
FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	2517
NUDT14	NUDT14	nudix hydrolase 14	256281
ARHGAP30	ARHGAP30	Rho GTPase activating protein 30	257106
TBC1D22A	TBC1D22A	TBC1 domain family member 22A	25771
SUN2	SUN2	Sad1 and UNC84 domain containing 2	25777
RAD54B	RAD54B	RAD54 homolog B (S. cerevisiae)	25788
CIZ1	CIZ1	CDKN1A interacting zinc finger protein 1	25792
FBXO7	FBXO7	F-box protein 7	25793
SAMM50	SAMM50	SAMM50 sorting and assembly machinery component	25813
ATXN10	ATXN10	ataxin 10	25814
HECTD1	HECTD1	HECT domain E3 ubiquitin protein ligase 1	25831
COG4	COG4	component of oligomeric golgi complex 4	25839
GALK1	GALK1	galactokinase 1	2584
NEPRO	NEPRO	nucleolus and neural progenitor protein	25871
RPL36	RPL36	ribosomal protein L36	25873
INTS7	INTS7	integrator complex subunit 7	25896
AHCTF1	AHCTF1	AT-hook containing transcription factor 1	25909
ATL3	ATL3	atlastin GTPase 3	25923
ASPM	ASPM	abnormal spindle microtubule assembly	259266
PTPN23	PTPN23	protein tyrosine phosphatase, non-receptor type 23	25930
IL4I1	IL4I1	interleukin 4 induced 1	259307
CLIC4	CLIC4	chloride intracellular channel 4	25932
ZNF385A	ZNF385A	zinc finger protein 385A	25946
GAPDH	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
RPAP1	RPAP1	RNA polymerase II associated protein 1	26015
UBXN7	UBXN7	UBX domain protein 7	26043
PPP1R16B	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	26051
AUTS2	AUTS2	AUTS2, activator of transcription and developmental regulator	26053
ANKRD17	ANKRD17	ankyrin repeat domain 17	26057
SZRD1	SZRD1	SUZ RNA binding domain containing 1	26099
LDLRAP1	LDLRAP1	low density lipoprotein receptor adaptor protein 1	26119
FGFR1OP2	FGFR1OP2	FGFR1 oncogene partner 2	26127
GAPVD1	GAPVD1	GTPase activating protein and VPS9 domains 1	26130
TRPC4AP	TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein	26133
RSL1D1	RSL1D1	ribosomal L1 domain containing 1	26156
SENP3	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	26168
INTS1	INTS1	integrator complex subunit 1	26173
FBXL6	FBXL6	F-box and leucine rich repeat protein 6	26233
FBXL5	FBXL5	F-box and leucine rich repeat protein 5	26234
BLOC1S6	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6	26258
FBXO5	FBXO5	F-box protein 5	26271
SACS	SACS	sacsin molecular chaperone	26278
ARFGAP3	ARFGAP3	ADP ribosylation factor GTPase activating protein 3	26286
KAT2A	KAT2A	lysine acetyltransferase 2A	2648
B4GALT1	B4GALT1	beta-1,4-galactosyltransferase 1	2683
RANBP6	RANBP6	RAN binding protein 6	26953
ZBTB32	ZBTB32	zinc finger and BTB domain containing 32	27033
PELP1	PELP1	proline, glutamate and leucine rich protein 1	27043
SND1	SND1	staphylococcal nuclease and tudor domain containing 1	27044
PPA2	PPA2	pyrophosphatase (inorganic) 2	27068
VPS41	VPS41	VPS41, HOPS complex subunit	27072
AFF4	AFF4	AF4/FMR2 family member 4	27125
SNX5	SNX5	sorting nexin 5	27131
NDOR1	NDOR1	NADPH dependent diflavin oxidoreductase 1	27158
TUBGCP4	TUBGCP4	tubulin gamma complex associated protein 4	27229
GPKOW	GPKOW	G-patch domain and KOW motifs	27238
PDCD4	PDCD4	programmed cell death 4	27250
R3HCC1L	R3HCC1L	R3H domain and coiled-coil containing 1 like	27291
GLDC	GLDC	glycine decarboxylase	2731
GLE1	GLE1	GLE1, RNA export mediator	2733
EIF3K	EIF3K	eukaryotic translation initiation factor 3 subunit K	27335
HTATSF1	HTATSF1	HIV-1 Tat specific factor 1	27336
UBE2S	UBE2S	ubiquitin conjugating enzyme E2 S	27338
MAT2B	MAT2B	methionine adenosyltransferase 2B	27430
GNB2	GNB2	G protein subunit beta 2	2783
ANKRD52	ANKRD52	ankyrin repeat domain 52	283373
HECTD4	HECTD4	HECT domain E3 ubiquitin protein ligase 4	283450
PGP	PGP	phosphoglycolate phosphatase	283871
TMEM102	TMEM102	transmembrane protein 102	284114
CCDC141	CCDC141	coiled-coil domain containing 141	285025
ARL10	ARL10	ADP ribosylation factor like GTPase 10	285598
RPL7L1	RPL7L1	ribosomal protein L7 like 1	285855
GRB2	GRB2	growth factor receptor bound protein 2	2885
IGKV3D-11	IGKV3D-11	immunoglobulin kappa variable 3D-11	28876
LAMTOR2	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2	28956
NOB1	NOB1	NIN1/PSMD8 binding protein 1 homolog	28987
C16orf72	C16orf72	chromosome 16 open reading frame 72	29035
ZC3H7A	ZC3H7A	zinc finger CCCH-type containing 7A	29066
UBE2T	UBE2T	ubiquitin conjugating enzyme E2 T	29089
ORMDL2	ORMDL2	ORMDL sphingolipid biosynthesis regulator 2	29095
COMMD9	COMMD9	COMM domain containing 9	29099
RACGAP1	RACGAP1	Rac GTPase activating protein 1	29127
UHRF1	UHRF1	ubiquitin like with PHD and ring finger domains 1	29128
MSH6	MSH6	mutS homolog 6	2956
GTF2F1	GTF2F1	general transcription factor IIF subunit 1	2962
GTF2F2	GTF2F2	general transcription factor IIF subunit 2	2963
GTF2I	GTF2I	general transcription factor IIi	2969
GTF3C1	GTF3C1	general transcription factor IIIC subunit 1	2975
GTF3C2	GTF3C2	general transcription factor IIIC subunit 2	2976
BLNK	BLNK	B-cell linker	29760
ANAPC2	ANAPC2	anaphase promoting complex subunit 2	29882
GMPPA	GMPPA	GDP-mannose pyrophosphorylase A	29926
NENF	NENF	neudesin neurotrophic factor	29937
NRBP1	NRBP1	nuclear receptor binding protein 1	29959
UBQLN1	UBQLN1	ubiquilin 1	29979
LMCD1	LMCD1	LIM and cysteine rich domains 1	29995
ANXA2	ANXA2	annexin A2	302
HSD17B10	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	3028
HBA1	HBA1	hemoglobin subunit alpha 1	3039
HBA2	HBA2	hemoglobin subunit alpha 2	3040
HCFC1	HCFC1	host cell factor C1	3054
HDAC2	HDAC2	histone deacetylase 2	3066
