userid	genesymbol	genename	entrezgene
RBM14	RBM14	RNA binding motif protein 14	10432
IFI30	IFI30	IFI30, lysosomal thiol reductase	10437
MERTK	MERTK	MER proto-oncogene, tyrosine kinase	10461
NXF1	NXF1	nuclear RNA export factor 1	10482
SEC23B	SEC23B	Sec23 homolog B, coat complex II component	10483
SYNCRIP	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	10492
STK25	STK25	serine/threonine kinase 25	10494
NCOA2	NCOA2	nuclear receptor coactivator 2	10499
APPBP2	APPBP2	amyloid beta precursor protein binding protein 2	10513
MYBBP1A	MYBBP1A	MYB binding protein 1a	10514
CIB1	CIB1	calcium and integrin binding 1	10519
IPO8	IPO8	importin 8	10526
IPO7	IPO7	importin 7	10527
NOP56	NOP56	NOP56 ribonucleoprotein	10528
HTATIP2	HTATIP2	HIV-1 Tat interactive protein 2	10553
SPTLC1	SPTLC1	serine palmitoyltransferase long chain base subunit 1	10558
IFI44	IFI44	interferon induced protein 44	10561
RABAC1	RABAC1	Rab acceptor 1	10567
CCT7	CCT7	chaperonin containing TCP1 subunit 7	10574
CCT2	CCT2	chaperonin containing TCP1 subunit 2	10576
CENPB	CENPB	centromere protein B	1059
SMC2	SMC2	structural maintenance of chromosomes 2	10592
PRPF8	PRPF8	pre-mRNA processing factor 8	10594
PAICS	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	10606
PDLIM5	PDLIM5	PDZ and LIM domain 5	10611
CENPE	CENPE	centromere protein E	1062
CENPF	CENPF	centromere protein F	1063
RGS14	RGS14	regulator of G-protein signaling 14	10636
EXOC5	EXOC5	exocyst complex component 5	10640
IGF2BP3	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	10643
KHDRBS1	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	10657
CELF2	CELF2	CUGBP Elav-like family member 2	10659
DCTN6	DCTN6	dynactin subunit 6	10671
TNFSF13B	TNFSF13B	tumor necrosis factor superfamily member 13b	10673
B3GNT2	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	10678
GNB5	GNB5	G protein subunit beta 5	10681
GMEB1	GMEB1	glucocorticoid modulatory element binding protein 1	10691
CCT8	CCT8	chaperonin containing TCP1 subunit 8	10694
YME1L1	YME1L1	YME1 like 1 ATPase	10730
MAP3K2	MAP3K2	mitogen-activated protein kinase kinase kinase 2	10746
TRAF3IP2	TRAF3IP2	TRAF3 interacting protein 2	10758
HBS1L	HBS1L	HBS1 like translational GTPase	10767
AHCYL1	AHCYL1	adenosylhomocysteinase like 1	10768
ZBTB6	ZBTB6	zinc finger and BTB domain containing 6	10773
IQGAP2	IQGAP2	IQ motif containing GTPase activating protein 2	10788
SEC24A	SEC24A	SEC24 homolog A, COPII coat complex component	10802
CLPX	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	10845
SRCAP	SRCAP	Snf2 related CREBBP activator protein	10847
RUVBL2	RUVBL2	RuvB like AAA ATPase 2	10856
ARID5A	ARID5A	AT-rich interaction domain 5A	10865
USP19	USP19	ubiquitin specific peptidase 19	10869
WDR3	WDR3	WD repeat domain 3	10885
MALT1	MALT1	MALT1 paracaspase	10892
DHRS4	DHRS4	dehydrogenase/reductase 4	10901
EHMT2	EHMT2	euchromatic histone lysine methyltransferase 2	10919
MORF4L1	MORF4L1	mortality factor 4 like 1	10933
POP1	POP1	POP1 homolog, ribonuclease P/MRP subunit	10940
OS9	OS9	OS9, endoplasmic reticulum lectin	10956
TMED10	TMED10	transmembrane p24 trafficking protein 10	10972
ASCC3	ASCC3	activating signal cointegrator 1 complex subunit 3	10973
CCNI	CCNI	cyclin I	10983
GCN1	GCN1	GCN1, eIF2 alpha kinase activator homolog	10985
COPS5	COPS5	COP9 signalosome subunit 5	10987
METAP2	METAP2	methionyl aminopeptidase 2	10988
SF3B2	SF3B2	splicing factor 3b subunit 2	10992
TLK2	TLK2	tousled like kinase 2	11011
LILRB3	LILRB3	leukocyte immunoglobulin like receptor B3	11025
PIM2	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	11040
CHD2	CHD2	chromodomain helicase DNA binding protein 2	1106
DIDO1	DIDO1	death inducer-obliterator 1	11083
WDR5	WDR5	WD repeat domain 5	11091
CIT	CIT	citron rho-interacting serine/threonine kinase	11113
BTN3A1	BTN3A1	butyrophilin subfamily 3 member A1	11119
FAF1	FAF1	Fas associated factor 1	11124
KIF3A	KIF3A	kinesin family member 3A	11127
CDC37	CDC37	cell division cycle 37	11140
BAZ2A	BAZ2A	bromodomain adjacent to zinc finger domain 2A	11176
WDR6	WDR6	WD repeat domain 6	11180
MAP4K1	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	11184
RASSF1	RASSF1	Ras association domain family member 1	11186
NISCH	NISCH	nischarin	11188
AKAP13	AKAP13	A-kinase anchoring protein 13	11214
AKAP11	AKAP11	A-kinase anchoring protein 11	11215
DDX20	DDX20	DEAD-box helicase 20	11218
MAN1B1	MAN1B1	mannosidase alpha class 1B member 1	11253
SP140	SP140	SP140 nuclear body protein	11262
NRM	NRM	nurim (nuclear envelope membrane protein)	11270
ATXN2L	ATXN2L	ataxin 2 like	11273
ADCY7	ADCY7	adenylate cyclase 7	113
CDCA5	CDCA5	cell division cycle associated 5	113130
CHST14	CHST14	carbohydrate sulfotransferase 14	113189
DDX42	DDX42	DEAD-box helicase 42	11325
SLC52A3	SLC52A3	solute carrier family 52 member 3	113278
PHB2	PHB2	prohibitin 2	11331
U2AF2	U2AF2	U2 small nuclear RNA auxiliary factor 2	11338
MYSM1	MYSM1	Myb like, SWIRM and MPN domains 1	114803
OMA1	OMA1	OMA1 zinc metallopeptidase	115209
LRRC42	LRRC42	leucine rich repeat containing 42	115353
GBP4	GBP4	guanylate binding protein 4	115361
LRRC58	LRRC58	leucine rich repeat containing 58	116064
ZNF526	ZNF526	zinc finger protein 526	116115
GRIN3A	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	116443
FAM129A	FAM129A	family with sequence similarity 129 member A	116496
ARAP1	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	116985
AGAP2	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	116986
TAGAP	TAGAP	T-cell activation RhoGTPase activating protein	117289
EXOSC6	EXOSC6	exosome component 6	118460
PIK3AP1	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	118788
SFXN2	SFXN2	sideroflexin 2	118980
CLIC1	CLIC1	chloride intracellular channel 1	1192
ANAPC16	ANAPC16	anaphase promoting complex subunit 16	119504
CLK3	CLK3	CDC like kinase 3	1198
TPP1	TPP1	tripeptidyl peptidase 1	1200
SLC15A4	SLC15A4	solute carrier family 15 member 4	121260
CSNK1A1L	CSNK1A1L	casein kinase 1 alpha 1 like	122011
CCR7	CCR7	C-C motif chemokine receptor 7	1236
NIPA1	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	123606
NTAN1	NTAN1	N-terminal asparagine amidase	123803
SLC38A10	SLC38A10	solute carrier family 38 member 10	124565
WDR81	WDR81	WD repeat domain 81	124997
RAVER1	RAVER1	ribonucleoprotein, PTB binding 1	125950
ALDH16A1	ALDH16A1	aldehyde dehydrogenase 16 family member A1	126133
MOB3A	MOB3A	MOB kinase activator 3A	126308
MFSD12	MFSD12	major facilitator superfamily domain containing 12	126321
RINL	RINL	Ras and Rab interactor like	126432
C19orf47	C19orf47	chromosome 19 open reading frame 47	126526
CNP	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	1267
COL1A2	COL1A2	collagen type I alpha 2 chain	1278
UHMK1	UHMK1	U2AF homology motif kinase 1	127933
TSHZ2	TSHZ2	teashirt zinc finger homeobox 2	128553
COL4A5	COL4A5	collagen type IV alpha 5 chain	1287
C20orf144	C20orf144	chromosome 20 open reading frame 144	128864
COL9A1	COL9A1	collagen type IX alpha 1 chain	1297
UBR3	UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative)	130507
CPO	CPO	carboxypeptidase O	130749
COPA	COPA	coatomer protein complex subunit alpha	1314
COPB1	COPB1	coatomer protein complex subunit beta 1	1315
GLYCTK	GLYCTK	glycerate kinase	132158
UBLCP1	UBLCP1	ubiquitin like domain containing CTD phosphatase 1	134510
COX10	COX10	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor	1352
CD109	CD109	CD109 molecule	135228
CPD	CPD	carboxypeptidase D	1362
CPT1A	CPT1A	carnitine palmitoyltransferase 1A	1374
CRIP1	CRIP1	cysteine rich protein 1	1396
ASB8	ASB8	ankyrin repeat and SOCS box containing 8	140461
SMCR8	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8	140775
SRXN1	SRXN1	sulfiredoxin 1	140809
PARP4	PARP4	poly(ADP-ribose) polymerase family member 4	143
CSE1L	CSE1L	chromosome segregation 1 like	1434
PLEKHA7	PLEKHA7	pleckstrin homology domain containing A7	144100
SPTY2D1	SPTY2D1	SPT2 chromatin protein domain containing 1	144108
DNHD1	DNHD1	dynein heavy chain domain 1	144132
ALG10B	ALG10B	ALG10B, alpha-1,2-glucosyltransferase	144245
CDAN1	CDAN1	codanin 1	146059
PIK3R6	PIK3R6	phosphoinositide-3-kinase regulatory subunit 6	146850
KIF18B	KIF18B	kinesin family member 18B	146909
RUNDC1	RUNDC1	RUN domain containing 1	146923
CBLN2	CBLN2	cerebellin 2 precursor	147381
CSTF1	CSTF1	cleavage stimulation factor subunit 1	1477
CSTF2	CSTF2	cleavage stimulation factor subunit 2	1478
FAM98C	FAM98C	family with sequence similarity 98 member C	147965
ANKRD35	ANKRD35	ankyrin repeat domain 35	148741
CTBP2	CTBP2	C-terminal binding protein 2	1488
CTH	CTH	cystathionine gamma-lyase	1491
CTNNA1	CTNNA1	catenin alpha 1	1495
CTNNB1	CTNNB1	catenin beta 1	1499
ANKAR	ANKAR	ankyrin and armadillo repeat containing	150709
CTSH	CTSH	cathepsin H	1512
DTX3L	DTX3L	deltex E3 ubiquitin ligase 3L	151636
MB21D2	MB21D2	Mab-21 domain containing 2	151963
CTSS	CTSS	cathepsin S	1520
BTNL9	BTNL9	butyrophilin like 9	153579
TTC23L	TTC23L	tetratricopeptide repeat domain 23 like	153657
GRK2	GRK2	G protein-coupled receptor kinase 2	156
CDCA2	CDCA2	cell division cycle associated 2	157313
VPS13B	VPS13B	vacuolar protein sorting 13 homolog B	157680
FAAH2	FAAH2	fatty acid amide hydrolase 2	158584
USP54	USP54	ubiquitin specific peptidase 54	159195
SYNE3	SYNE3	spectrin repeat containing nuclear envelope family member 3	161176
DAPK1	DAPK1	death associated protein kinase 1	1612
DAPK3	DAPK3	death associated protein kinase 3	1613
AP1B1	AP1B1	adaptor related protein complex 1 beta 1 subunit	162
NAGS	NAGS	N-acetylglutamate synthase	162417
AP2B1	AP2B1	adaptor related protein complex 2 beta 1 subunit	163
DCTN1	DCTN1	dynactin subunit 1	1639
DDB1	DDB1	damage specific DNA binding protein 1	1642
DDB2	DDB2	damage specific DNA binding protein 2	1643
LONRF2	LONRF2	LON peptidase N-terminal domain and ring finger 2	164832
DDX5	DDX5	DEAD-box helicase 5	1655
DHX9	DHX9	DExH-box helicase 9	1660
TIGD2	TIGD2	tigger transposable element derived 2	166815
RASSF6	RASSF6	Ras association domain family member 6	166824
COCH	COCH	cochlin	1690
DHX36	DHX36	DEAH-box helicase 36	170506
SYNPO2	SYNPO2	synaptopodin 2	171024
DHCR24	DHCR24	24-dehydrocholesterol reductase	1718
DHODH	DHODH	dihydroorotate dehydrogenase (quinone)	1723
DHPS	DHPS	deoxyhypusine synthase	1725
DIAPH1	DIAPH1	diaphanous related formin 1	1729
DIAPH2	DIAPH2	diaphanous related formin 2	1730
DYNC1H1	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	1778
DYNC1I2	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2	1781
DYNC1LI2	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	1783
DNM2	DNM2	dynamin 2	1785
DNMT1	DNMT1	DNA methyltransferase 1	1786
DOCK2	DOCK2	dedicator of cytokinesis 2	1794
DUSP2	DUSP2	dual specificity phosphatase 2	1844
DUSP5	DUSP5	dual specificity phosphatase 5	1847
E2F2	E2F2	E2F transcription factor 2	1870
EDNRB	EDNRB	endothelin receptor type B	1910
EEF2	EEF2	eukaryotic translation elongation factor 2	1938
EFNA5	EFNA5	ephrin A5	1946
CELSR3	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	1951
EHHADH	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase	1962
ZFC3H1	ZFC3H1	zinc finger C3H1-type containing	196441
PLBD2	PLBD2	phospholipase B domain containing 2	196463
EIF2S1	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	1965
ANO6	ANO6	anoctamin 6	196527
ARID2	ARID2	AT-rich interaction domain 2	196528
EIF4A1	EIF4A1	eukaryotic translation initiation factor 4A1	1973
WDR90	WDR90	WD repeat domain 90	197335
EIF4B	EIF4B	eukaryotic translation initiation factor 4B	1975
EIF4G1	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	1981
EIF4G2	EIF4G2	eukaryotic translation initiation factor 4 gamma 2	1982
ELF1	ELF1	E74 like ETS transcription factor 1	1997
GGN	GGN	gametogenetin	199720
ELF4	ELF4	E74 like ETS transcription factor 4	2000
PIKFYVE	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing	200576
ENO1	ENO1	enolase 1	2023
TUBB	TUBB	tubulin beta class I	203068
EP300	EP300	E1A binding protein p300	2033
ANO5	ANO5	anoctamin 5	203859
EPO	EPO	erythropoietin	2056
EPRS	EPRS	glutamyl-prolyl-tRNA synthetase	2058
ERCC2	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	2068
DHRSX	DHRSX	dehydrogenase/reductase X-linked	207063
ERCC5	ERCC5	ERCC excision repair 5, endonuclease	2073
ERCC6	ERCC6	ERCC excision repair 6, chromatin remodeling factor	2074
ERN1	ERN1	endoplasmic reticulum to nucleus signaling 1	2081
FBL	FBL	fibrillarin	2091
ESRRA	ESRRA	estrogen related receptor alpha	2101
ETFB	ETFB	electron transfer flavoprotein beta subunit	2109
EYA3	EYA3	EYA transcriptional coactivator and phosphatase 3	2140
F8	F8	coagulation factor VIII	2157
FANCD2	FANCD2	Fanconi anemia complementation group D2	2177
FANCE	FANCE	Fanconi anemia complementation group E	2178
ACSL1	ACSL1	acyl-CoA synthetase long-chain family member 1	2180
ACSL3	ACSL3	acyl-CoA synthetase long-chain family member 3	2181
PTK2B	PTK2B	protein tyrosine kinase 2 beta	2185
BPTF	BPTF	bromodomain PHD finger transcription factor	2186
SAMD9L	SAMD9L	sterile alpha motif domain containing 9 like	219285
FASN	FASN	fatty acid synthase	2194
OR8G5	OR8G5	olfactory receptor family 8 subfamily G member 5	219865
ABCB7	ABCB7	ATP binding cassette subfamily B member 7	22
OAF	OAF	out at first homolog	220323
FCER2	FCER2	Fc fragment of IgE receptor II	2208
JMJD1C	JMJD1C	jumonji domain containing 1C	221037
HNRNPUL2	HNRNPUL2	heterogeneous nuclear ribonucleoprotein U like 2	221092
PPP1R35	PPP1R35	protein phosphatase 1 regulatory subunit 35	221908
FOXK1	FOXK1	forkhead box K1	221937
LRWD1	LRWD1	leucine rich repeats and WD repeat domain containing 1	222229
RFX6	RFX6	regulatory factor X6	222546
FEN1	FEN1	flap structure-specific endonuclease 1	2237
ALDOA	ALDOA	aldolase, fructose-bisphosphate A	226
XRN2	XRN2	5'-3' exoribonuclease 2	22803
IKZF2	IKZF2	IKAROS family zinc finger 2	22807
COPG1	COPG1	coatomer protein complex subunit gamma 1	22820
RASA3	RASA3	RAS p21 protein activator 3	22821
PUF60	PUF60	poly(U) binding splicing factor 60	22827
RNF44	RNF44	ring finger protein 44	22838
FASTKD2	FASTKD2	FAST kinase domains 2	22868
PPP6R1	PPP6R1	protein phosphatase 6 regulatory subunit 1	22870
SEC31A	SEC31A	SEC31 homolog A, COPII coat complex component	22872
INPP5F	INPP5F	inositol polyphosphate-5-phosphatase F	22876
MLXIP	MLXIP	MLX interacting protein	22877
BAHD1	BAHD1	bromo adjacent homology domain containing 1	22893
DENND3	DENND3	DENN domain containing 3	22898
SBNO2	SBNO2	strawberry notch homolog 2	22904
ATF6	ATF6	activating transcription factor 6	22926
SEPHS2	SEPHS2	selenophosphate synthetase 2	22928
RAB3GAP1	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	22930
ELL2	ELL2	elongation factor for RNA polymerase II 2	22936
SCAP	SCAP	SREBF chaperone	22937
KIN	KIN	Kin17 DNA and RNA binding protein	22944
TPX2	TPX2	TPX2, microtubule nucleation factor	22974
EFR3B	EFR3B	EFR3 homolog B	22979
TCF25	TCF25	transcription factor 25	22980
PDCD11	PDCD11	programmed cell death 11	22984
SORCS3	SORCS3	sortilin related VPS10 domain containing receptor 3	22986
PCNX1	PCNX1	pecanex homolog 1 (Drosophila)	22990
ABCF1	ABCF1	ATP binding cassette subfamily F member 1	23
SPEN	SPEN	spen family transcriptional repressor	23013
EXOSC7	EXOSC7	exosome component 7	23016
CNOT1	CNOT1	CCR4-NOT transcription complex subunit 1	23019
SNRNP200	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	23020
KDM1A	KDM1A	lysine demethylase 1A	23028
KDM4B	KDM4B	lysine demethylase 4B	23030
PDXDC1	PDXDC1	pyridoxal dependent decarboxylase domain containing 1	23042
FNBP1	FNBP1	formin binding protein 1	23048
SMG1	SMG1	SMG1, nonsense mediated mRNA decay associated PI3K related kinase	23049
ZNF609	ZNF609	zinc finger protein 609	23060
WAPL	WAPL	WAPL cohesin release factor	23063
CMTR1	CMTR1	cap methyltransferase 1	23070
RRP1B	RRP1B	ribosomal RNA processing 1B	23076
MYCBP2	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	23077
PPRC1	PPRC1	peroxisome proliferator-activated receptor gamma, coactivator-related 1	23082
TRIM35	TRIM35	tripartite motif containing 35	23087
PEG10	PEG10	paternally expressed 10	23089
FLI1	FLI1	Fli-1 proto-oncogene, ETS transcription factor	2313
MAST2	MAST2	microtubule associated serine/threonine kinase 2	23139
FLII	FLII	FLII, actin remodeling protein	2314
ANKLE2	ANKLE2	ankyrin repeat and LEM domain containing 2	23141
CIC	CIC	capicua transcriptional repressor	23152
NCDN	NCDN	neurochondrin	23154
FLNA	FLNA	filamin A	2316
WDR43	WDR43	WD repeat domain 43	23160
NUP205	NUP205	nucleoporin 205	23165
EFR3A	EFR3A	EFR3 homolog A	23167
METAP1	METAP1	methionyl aminopeptidase 1	23173
LPIN1	LPIN1	lipin 1	23175
DIP2A	DIP2A	disco interacting protein 2 homolog A	23181
FLOT2	FLOT2	flotillin 2	2319
MDN1	MDN1	midasin AAA ATPase 1	23195
GSE1	GSE1	Gse1 coiled-coil protein	23199
ZC3H4	ZC3H4	zinc finger CCCH-type containing 4	23211
XPO6	XPO6	exportin 6	23214
PRRC2C	PRRC2C	proline rich coiled-coil 2C	23215
TBC1D1	TBC1D1	TBC1 domain family member 1	23216
NBEAL2	NBEAL2	neurobeachin like 2	23218
FBXO28	FBXO28	F-box protein 28	23219
DTX4	DTX4	deltex E3 ubiquitin ligase 4	23220
RRP12	RRP12	ribosomal RNA processing 12 homolog	23223
SYNE2	SYNE2	spectrin repeat containing nuclear envelope protein 2	23224
NUP210	NUP210	nucleoporin 210	23225
VPS13A	VPS13A	vacuolar protein sorting 13 homolog A	23230
SIK2	SIK2	salt inducible kinase 2	23235
PHLPP1	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	23239
PDS5A	PDS5A	PDS5 cohesin associated factor A	23244
BOP1	BOP1	block of proliferation 1	23246
MGA	MGA	MGA, MAX dimerization protein	23269
FAM208A	FAM208A	family with sequence similarity 208 member A	23272
CLEC16A	CLEC16A	C-type lectin domain family 16 member A	23274
NUP160	NUP160	nucleoporin 160	23279
BICD2	BICD2	BICD cargo adaptor 2	23299
EHBP1	EHBP1	EH domain binding protein 1	23301
NCAPD3	NCAPD3	non-SMC condensin II complex subunit D3	23310
DNAJC13	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	23317
FMR1	FMR1	fragile X mental retardation 1	2332
USP22	USP22	ubiquitin specific peptidase 22	23326
NEDD4L	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	23327
SZT2	SZT2	seizure threshold 2 homolog (mouse)	23334
JADE2	JADE2	jade family PHD finger 2	23338
VPS39	VPS39	VPS39, HOPS complex subunit	23339
ESYT1	ESYT1	extended synaptotagmin 1	23344
SYNE1	SYNE1	spectrin repeat containing nuclear envelope protein 1	23345
SMCHD1	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	23347
UBR4	UBR4	ubiquitin protein ligase E3 component n-recognin 4	23352
USP24	USP24	ubiquitin specific peptidase 24	23358
ADNP	ADNP	activity dependent neuroprotector homeobox	23394
NCAPH	NCAPH	non-SMC condensin I complex subunit H	23397
SF3B3	SF3B3	splicing factor 3b subunit 3	23450
ABCB10	ABCB10	ATP binding cassette subfamily B member 10	23456
CBX6	CBX6	chromobox 6	23466
CAPN7	CAPN7	calpain 7	23473
ISCU	ISCU	iron-sulfur cluster assembly enzyme	23479
TNFRSF13B	TNFRSF13B	TNF receptor superfamily member 13B	23495
HAAO	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	23498
MACF1	MACF1	microtubule-actin crosslinking factor 1	23499
ZFYVE26	ZFYVE26	zinc finger FYVE-type containing 26	23503
TMEM131	TMEM131	transmembrane protein 131	23505
SCRIB	SCRIB	scribbled planar cell polarity protein	23513
SRRM2	SRRM2	serine/arginine repetitive matrix 2	23524
ARHGAP45	ARHGAP45	Rho GTPase activating protein 45	23526
PIK3R5	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5	23533
GTPBP4	GTPBP4	GTP binding protein 4	23560
CCNDBP1	CCNDBP1	cyclin D1 binding protein 1	23582
LEMD3	LEMD3	LEM domain containing 3	23592
ORC3	ORC3	origin recognition complex subunit 3	23595
MKRN2	MKRN2	makorin ring finger protein 2	23609
SSBP2	SSBP2	single stranded DNA binding protein 2	23635
EDC4	EDC4	enhancer of mRNA decapping 4	23644
POLA2	POLA2	DNA polymerase alpha 2, accessory subunit	23649
PRKD3	PRKD3	protein kinase D3	23683
EID1	EID1	EP300 interacting inhibitor of differentiation 1	23741
MTCH2	MTCH2	mitochondrial carrier 2	23788
FTSJ1	FTSJ1	FtsJ RNA methyltransferase homolog 1 (E. coli)	24140
PRPF6	PRPF6	pre-mRNA processing factor 6	24148
MTOR	MTOR	mechanistic target of rapamycin	2475
FTH1	FTH1	ferritin heavy chain 1	2495
ABL1	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25
KDSR	KDSR	3-ketodihydrosphingosine reductase	2531
PRR14L	PRR14L	proline rich 14 like	253143
RICTOR	RICTOR	RPTOR independent companion of MTOR complex 2	253260
RALGAPA1	RALGAPA1	Ral GTPase activating protein catalytic alpha subunit 1	253959
GAA	GAA	glucosidase alpha, acid	2548
NUDT14	NUDT14	nudix hydrolase 14	256281
ARHGAP30	ARHGAP30	Rho GTPase activating protein 30	257106
GCSAM	GCSAM	germinal center associated signaling and motility	257144
TBC1D22A	TBC1D22A	TBC1 domain family member 22A	25771
SUN2	SUN2	Sad1 and UNC84 domain containing 2	25777
RAB3GAP2	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2	25782
CIZ1	CIZ1	CDKN1A interacting zinc finger protein 1	25792
GAK	GAK	cyclin G associated kinase	2580
ATXN10	ATXN10	ataxin 10	25814
HECTD1	HECTD1	HECT domain E3 ubiquitin protein ligase 1	25831
GALK1	GALK1	galactokinase 1	2584
YIPF3	YIPF3	Yip1 domain family member 3	25844
TECPR1	TECPR1	tectonin beta-propeller repeat containing 1	25851
RPL36	RPL36	ribosomal protein L36	25873
POLR1A	POLR1A	RNA polymerase I subunit A	25885
AHCTF1	AHCTF1	AT-hook containing transcription factor 1	25909
ASPM	ASPM	abnormal spindle microtubule assembly	259266
PTPN23	PTPN23	protein tyrosine phosphatase, non-receptor type 23	25930
IL4I1	IL4I1	interleukin 4 induced 1	259307
HEATR5A	HEATR5A	HEAT repeat containing 5A	25938
ZNF385A	ZNF385A	zinc finger protein 385A	25946
GANC	GANC	glucosidase alpha, neutral C	2595
KANK2	KANK2	KN motif and ankyrin repeat domains 2	25959
GAPDH	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
TBC1D10B	TBC1D10B	TBC1 domain family member 10B	26000
C2CD3	C2CD3	C2 calcium dependent domain containing 3	26005
